trial_id,fold_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold,trades,aggregate_observations,aggregate_mean_net_return,aggregate_hac_t
R2B0020,F04,derivatives.premium,CROWDING_REVERSION,15m,LONG,16,True,24697,9828,-0.0007399390658452614,-1.2669198068164333
R2B0020,F05,derivatives.premium,CROWDING_REVERSION,15m,LONG,16,True,45311,15448,-0.002920061223555115,-5.235514961043113
R2B0020,F06,derivatives.premium,CROWDING_REVERSION,15m,LONG,16,True,47712,16057,-0.0022379864725491144,-5.813167394709818
R2B0020,F07,derivatives.premium,CROWDING_REVERSION,15m,LONG,16,True,42110,14571,-0.0013520204954248934,-3.4706009118183414
R2B0020,F08,derivatives.premium,CROWDING_REVERSION,15m,LONG,16,True,35567,13386,-0.0014545013132041635,-5.220613211153762
R2B0021,F01,derivatives.premium,CROWDING_REVERSION,15m,LONG,48,True,3339,2630,0.001594846866065269,1.0546503802773972
R2B0021,F02,derivatives.premium,CROWDING_REVERSION,15m,LONG,48,True,7132,5010,0.0021293474034265267,1.6660517412220894
R2B0021,F03,derivatives.premium,CROWDING_REVERSION,15m,LONG,48,True,7411,4673,0.004745093727894724,1.8624579357773932
R2B0021,F04,derivatives.premium,CROWDING_REVERSION,15m,LONG,48,True,10523,6151,0.0012637740713335212,0.9602609781556063
R2B0021,F05,derivatives.premium,CROWDING_REVERSION,15m,LONG,48,True,16685,10096,-0.005285715590423287,-4.122375442235961
R2B0021,F06,derivatives.premium,CROWDING_REVERSION,15m,LONG,48,True,17417,9944,-0.0032325488259365965,-3.6555112618017565
R2B0021,F07,derivatives.premium,CROWDING_REVERSION,15m,LONG,48,True,15970,9287,-0.0005058479197491173,-0.5647279532678895
R2B0021,F08,derivatives.premium,CROWDING_REVERSION,15m,LONG,48,True,13850,8483,-0.0008640353953316709,-1.3353623270756247
R2B0022,F01,derivatives.premium,CROWDING_REVERSION,15m,LONG,96,True,1895,1633,0.0038486391932175245,1.3952292615515658
R2B0022,F02,derivatives.premium,CROWDING_REVERSION,15m,LONG,96,True,4215,3282,0.00519999892941607,2.3621232668949497
R2B0022,F03,derivatives.premium,CROWDING_REVERSION,15m,LONG,96,True,4389,3109,0.008071266880100729,1.859164937121515
R2B0022,F04,derivatives.premium,CROWDING_REVERSION,15m,LONG,96,True,5933,3911,0.00324491337245734,1.3978636846186403
R2B0022,F05,derivatives.premium,CROWDING_REVERSION,15m,LONG,96,True,8569,5852,-0.0074541672822146165,-3.3031465212170548
R2B0022,F06,derivatives.premium,CROWDING_REVERSION,15m,LONG,96,True,8920,5705,-0.004416547847486257,-2.745981579968222
R2B0022,F07,derivatives.premium,CROWDING_REVERSION,15m,LONG,96,True,8364,5458,0.00022467640650716518,0.133500410979113
R2B0022,F08,derivatives.premium,CROWDING_REVERSION,15m,LONG,96,True,7422,5108,3.850421492261562e-05,0.033505361239928
R2B0023,F01,derivatives.premium,CROWDING_REVERSION,15m,SHORT,4,True,33664,10531,-0.0020413337112763887,-12.370978823733537
R2B0023,F02,derivatives.premium,CROWDING_REVERSION,15m,SHORT,4,True,76093,16512,-0.001891305038625079,-14.312595279620128
R2B0023,F03,derivatives.premium,CROWDING_REVERSION,15m,SHORT,4,True,106570,15938,-0.0021042291880749367,-9.429482984998176
R2B0023,F04,derivatives.premium,CROWDING_REVERSION,15m,SHORT,4,True,95668,15478,-0.001864642988500063,-12.40015615470625
R2B0023,F05,derivatives.premium,CROWDING_REVERSION,15m,SHORT,4,True,26094,9679,-0.0010780157897515555,-5.044759851412632
R2B0023,F06,derivatives.premium,CROWDING_REVERSION,15m,SHORT,4,True,20330,10034,-0.001606308285257833,-10.3376272331661
R2B0023,F07,derivatives.premium,CROWDING_REVERSION,15m,SHORT,4,True,48250,12717,-0.0016403871443064386,-11.944068951150182
R2B0023,F08,derivatives.premium,CROWDING_REVERSION,15m,SHORT,4,True,66558,14481,-0.001976808140003035,-19.754063223061316
R2B0024,F01,derivatives.premium,CROWDING_REVERSION,15m,SHORT,16,True,11980,6918,-0.00242778779840732,-4.635526300738743
R2B0024,F02,derivatives.premium,CROWDING_REVERSION,15m,SHORT,16,True,29322,13055,-0.002083879790250919,-4.667958409599005
R2B0024,F03,derivatives.premium,CROWDING_REVERSION,15m,SHORT,16,True,38892,13875,-0.0029215697583477676,-4.194009817285001
R2B0024,F04,derivatives.premium,CROWDING_REVERSION,15m,SHORT,16,True,36009,13046,-0.0020322598608397136,-4.185568386245289
R2B0024,F05,derivatives.premium,CROWDING_REVERSION,15m,SHORT,16,True,14887,7462,-0.0004989007771753247,-0.7463356660121535
R2B0024,F06,derivatives.premium,CROWDING_REVERSION,15m,SHORT,16,True,12171,7276,-0.0012906678167070988,-2.739021702236564
R2B0024,F07,derivatives.premium,CROWDING_REVERSION,15m,SHORT,16,True,22614,10051,-0.0014829556790204276,-3.1343252431471273
R2B0024,F08,derivatives.premium,CROWDING_REVERSION,15m,SHORT,16,True,27005,11737,-0.0024737243798232463,-7.395682623573873
R2B0025,F01,derivatives.premium,CROWDING_REVERSION,15m,SHORT,48,True,4523,3414,-0.0031528720453769415,-2.4186524780328353
R2B0025,F02,derivatives.premium,CROWDING_REVERSION,15m,SHORT,48,True,11650,7805,-0.0026692358236829767,-2.4659721410573976
R2B0025,F03,derivatives.premium,CROWDING_REVERSION,15m,SHORT,48,True,15033,9198,-0.004978913426196573,-3.1771559540239496
R2B0025,F04,derivatives.premium,CROWDING_REVERSION,15m,SHORT,48,True,14246,8692,-0.002792122774640682,-2.539494756293039
R2B0025,F05,derivatives.premium,CROWDING_REVERSION,15m,SHORT,48,True,8102,5105,0.0018272369792859118,1.1453954327404214
R2B0025,F06,derivatives.premium,CROWDING_REVERSION,15m,SHORT,48,True,6861,4757,-0.0005080127445798608,-0.4379685961904079
R2B0025,F07,derivatives.premium,CROWDING_REVERSION,15m,SHORT,48,True,10616,6499,-0.0011970305167282591,-1.1082904716422717
R2B0025,F08,derivatives.premium,CROWDING_REVERSION,15m,SHORT,48,True,11486,7648,-0.00425272111842551,-5.904076241659168
