trial_id,feature_id,signal_variant,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_observations,aggregate_mean_net_return,aggregate_hac_t,p_value,bootstrap_ci_low,bootstrap_ci_high,best_fold_aggregate_mean,worst_fold_aggregate_mean,top_symbol,max_top_symbol_share_abs,fdr_q_value,catastrophic_reversal,temporal_replication
R2B0042,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,SHORT,16,8,0.0,109070,-0.0025799734247316667,-13.525691177662688,1.1918618421796654e-41,-0.003003217783249631,-0.0021840875875068517,-0.0012789320977292112,-0.0037810916632461038,LINKUSDT,0.024047315545578898,9.534894737437323e-41,True,NO_REPLICATION
R2B0043,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,SHORT,48,8,0.125,69079,-0.0029369714228704874,-6.176250281160591,6.600639069100217e-10,-0.004287323199445062,-0.001758265333047014,0.0009344168350922785,-0.006004385979416512,SOLUSDT,0.031433347816172116,1.9009840519008625e-09,True,NO_REPLICATION
R2B0044,derivatives.premium_zscore,PRESSURE_CONTINUATION,15m,SHORT,96,8,0.25,41554,-0.0037315727289906515,-4.3645247790681765,1.2770648598013979e-05,-0.006371843850788554,-0.0014120576817991904,0.0036014495479056085,-0.008958734374557227,DOGEUSDT,0.03533577234322073,2.7043726442853132e-05,True,NO_REPLICATION
R2B0045,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,LONG,4,8,0.0,31891,-0.0019398387571697465,-9.337828295645773,1.0449969754128622e-20,-0.0023189998585413677,-0.0015413937758931642,-0.0010878360918355554,-0.003197514161726306,EOSUSDT,0.02661346827377574,3.9599885384066355e-20,True,NO_REPLICATION
R2B0046,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,LONG,12,8,0.125,28556,-0.0015528749776736685,-2.745658274365295,0.006042741351563283,-0.0027013845488465284,-0.00024397410401426933,0.0011805938850840234,-0.0052645626101384966,EOSUSDT,0.02777631845966311,0.00853092896691287,True,NO_REPLICATION
R2B0047,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,LONG,24,8,0.5,22968,-0.0009688658477890426,-0.9811208370553156,0.3265434908125333,-0.0031977645236594982,0.0015566077691698196,0.004016472902303654,-0.00797342337272473,TRBUSDT,0.03732614940704963,0.38542838259839995,False,NO_REPLICATION
R2B0048,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,SHORT,4,8,0.0,31833,-0.002526713893822618,-12.038316051271119,2.6401087356456706e-33,-0.0029598499753831727,-0.0021318056358885233,-0.0013518834244233993,-0.0037074375958902513,DOGEUSDT,0.02628313165248974,1.5840652413874023e-32,True,NO_REPLICATION
R2B0049,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,SHORT,12,8,0.125,28313,-0.003204566987928189,-5.630543732390856,1.8134278465896157e-08,-0.0044984431521899425,-0.0020537063654345327,0.0006948629763028233,-0.005443134521984268,SOLUSDT,0.03058375498003961,4.6631001769447257e-08,True,NO_REPLICATION
R2B0050,derivatives.premium_zscore,PRESSURE_CONTINUATION,1h,SHORT,24,8,0.25,23053,-0.003925768378949443,-3.9030071616045823,9.527497983706318e-05,-0.006496988267065928,-0.0017222487235742886,0.0038096267002234382,-0.009568678413912523,SOLUSDT,0.03523538795326714,0.00017149496370671372,True,NO_REPLICATION
R2B0051,derivatives.premium_zscore,PRESSURE_CONTINUATION,4h,LONG,3,8,0.25,7693,-0.001552025061055171,-2.5947267796862272,0.009484580320270192,-0.002741889080581396,-0.0002778472913096441,0.0010594612486667277,-0.005039594577797761,EOSUSDT,0.03677458827465885,0.012884712887914223,True,NO_REPLICATION
