market,symbol,archive_dataset,interval,first_archive_month,last_archive_month,available_month_count,missing_month_count_inside_observed_span,object_count,compressed_bytes_from_s3_listing,first_key,last_key,eligible,instrument_class,exclusion_reason,evidence
spot,AXSUSDC,klines,15m,2025-07,2026-07,13,0,13,1204915,data/spot/monthly/klines/AXSUSDC/15m/AXSUSDC-15m-2025-07.zip,data/spot/monthly/klines/AXSUSDC/15m/AXSUSDC-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,AXSUSDT,klines,15m,2020-11,2026-07,69,0,69,8384834,data/spot/monthly/klines/AXSUSDT/15m/AXSUSDT-15m-2020-11.zip,data/spot/monthly/klines/AXSUSDT/15m/AXSUSDT-15m-2026-07.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
spot,AXTIBUSDT,klines,15m,2026-07,2026-07,1,0,1,29359,data/spot/monthly/klines/AXTIBUSDT/15m/AXTIBUSDT-15m-2026-07.zip,data/spot/monthly/klines/AXTIBUSDT/15m/AXTIBUSDT-15m-2026-07.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
spot,BABABUSDT,klines,15m,2026-07,2026-07,1,0,1,51111,data/spot/monthly/klines/BABABUSDT/15m/BABABUSDT-15m-2026-07.zip,data/spot/monthly/klines/BABABUSDT/15m/BABABUSDT-15m-2026-07.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
spot,BABYBNB,klines,15m,2025-04,2025-08,5,0,5,182988,data/spot/monthly/klines/BABYBNB/15m/BABYBNB-15m-2025-04.zip,data/spot/monthly/klines/BABYBNB/15m/BABYBNB-15m-2025-08.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BABYEUR,klines,15m,2025-04,2025-09,6,0,6,166438,data/spot/monthly/klines/BABYEUR/15m/BABYEUR-15m-2025-04.zip,data/spot/monthly/klines/BABYEUR/15m/BABYEUR-15m-2025-09.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BABYFDUSD,klines,15m,2025-04,2025-09,6,0,6,208644,data/spot/monthly/klines/BABYFDUSD/15m/BABYFDUSD-15m-2025-04.zip,data/spot/monthly/klines/BABYFDUSD/15m/BABYFDUSD-15m-2025-09.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BABYTRY,klines,15m,2025-04,2026-07,16,0,16,1473587,data/spot/monthly/klines/BABYTRY/15m/BABYTRY-15m-2025-04.zip,data/spot/monthly/klines/BABYTRY/15m/BABYTRY-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BABYUSDC,klines,15m,2025-04,2026-07,16,0,16,1519184,data/spot/monthly/klines/BABYUSDC/15m/BABYUSDC-15m-2025-04.zip,data/spot/monthly/klines/BABYUSDC/15m/BABYUSDC-15m-2026-07.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BABYUSDT,klines,15m,2025-04,2026-07,16,0,16,1854710,data/spot/monthly/klines/BABYUSDT/15m/BABYUSDT-15m-2025-04.zip,data/spot/monthly/klines/BABYUSDT/15m/BABYUSDT-15m-2026-07.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
spot,BADGERBTC,klines,15m,2021-03,2025-04,50,0,50,3590503,data/spot/monthly/klines/BADGERBTC/15m/BADGERBTC-15m-2021-03.zip,data/spot/monthly/klines/BADGERBTC/15m/BADGERBTC-15m-2025-04.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BADGERBUSD,klines,15m,2021-03,2023-10,32,0,32,2817877,data/spot/monthly/klines/BADGERBUSD/15m/BADGERBUSD-15m-2021-03.zip,data/spot/monthly/klines/BADGERBUSD/15m/BADGERBUSD-15m-2023-10.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BADGERUSDT,klines,15m,2021-03,2025-04,50,0,50,5588685,data/spot/monthly/klines/BADGERUSDT/15m/BADGERUSDT-15m-2021-03.zip,data/spot/monthly/klines/BADGERUSDT/15m/BADGERUSDT-15m-2025-04.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
spot,BAKEBNB,klines,15m,2020-09,2024-04,44,0,44,3560907,data/spot/monthly/klines/BAKEBNB/15m/BAKEBNB-15m-2020-09.zip,data/spot/monthly/klines/BAKEBNB/15m/BAKEBNB-15m-2024-04.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BAKEBTC,klines,15m,2021-06,2025-09,52,0,52,3930811,data/spot/monthly/klines/BAKEBTC/15m/BAKEBTC-15m-2021-06.zip,data/spot/monthly/klines/BAKEBTC/15m/BAKEBTC-15m-2025-09.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BAKEBUSD,klines,15m,2021-02,2023-11,34,0,34,3730692,data/spot/monthly/klines/BAKEBUSD/15m/BAKEBUSD-15m-2021-02.zip,data/spot/monthly/klines/BAKEBUSD/15m/BAKEBUSD-15m-2023-11.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BAKETRY,klines,15m,2024-06,2025-09,16,0,16,1281967,data/spot/monthly/klines/BAKETRY/15m/BAKETRY-15m-2024-06.zip,data/spot/monthly/klines/BAKETRY/15m/BAKETRY-15m-2025-09.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BAKEUSDT,klines,15m,2021-04,2025-09,54,0,54,6294092,data/spot/monthly/klines/BAKEUSDT/15m/BAKEUSDT-15m-2021-04.zip,data/spot/monthly/klines/BAKEUSDT/15m/BAKEUSDT-15m-2025-09.zip,True,SPOT_ORDINARY_USDT,,USDT quote plus non-leveraged symbol policy
spot,BALBNB,klines,15m,2020-08,2021-01,6,0,6,322795,data/spot/monthly/klines/BALBNB/15m/BALBNB-15m-2020-08.zip,data/spot/monthly/klines/BALBNB/15m/BALBNB-15m-2021-01.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
spot,BALBTC,klines,15m,2020-08,2024-10,51,0,51,3785620,data/spot/monthly/klines/BALBTC/15m/BALBTC-15m-2020-08.zip,data/spot/monthly/klines/BALBTC/15m/BALBTC-15m-2024-10.zip,False,UNKNOWN,QUOTE_NOT_USDT,archive symbol spelling
