trial_id,year,trades,sharpe
T0196,2024,893,-11.799623469966356
T0197,2024,893,-8.210992975808404
T0198,2024,893,-8.210992975808404
T0199,2024,893,-11.799623469966356
T0200,2024,893,-8.210992975808404
T0201,2024,893,-8.210992975808404
T0202,2024,893,-8.210992975808404
T0203,2024,743,-8.132759884224013
T0204,2024,834,-10.72459196202228
T0205,2024,605,-9.7664500644128
T0206,2024,428,-4.4640396269375
T0207,2024,391,-1.8114345958521574
T0208,2024,894,-9.292188645241898
T0209,2024,901,-7.891319239997625
T0210,2024,893,-8.302686522104077
T0211,2024,672,-9.683441253657634
T0212,2024,324,-7.0488385530297535
T0213,2024,140,-18.007562469983093
T0214,2024,66,-17.96844389410734
T0215,2024,841,-11.344148552760851
T0216,2024,268,-21.274883665132876
T0217,2024,521,-4.102511792011439
T0218,2024,893,-9.498954000083817
T0219,2024,893,-7.643237115417368
T0220,2024,893,-9.458504646162892
T0221,2024,901,-8.597018245256626
T0222,2024,881,-7.467445540538406
T0223,2024,24,-33.50728368973613
T0224,2024,798,-4.131192063952707
T0225,2024,798,-6.844341247405264
T0226,2024,250,-6.6125945212600845
T0227,2024,798,-4.131192063952707
T0228,2024,798,-6.844341247405264
T0229,2024,250,-6.6125945212600845
T0230,2024,806,-3.1750145465222377
T0231,2024,592,-3.9841172348072376
T0232,2024,607,-1.4118255039668757
T0233,2024,244,-6.51243671816316
T0234,2024,123,-2.553199115831572
T0235,2024,106,-3.7454356961892232
T0236,2024,798,-4.022836537958941
T0237,2024,798,-4.730028380234946
T0238,2024,806,-3.200812317785747
T0239,2024,384,-0.5181798420263778
T0240,2024,119,2.8546729576366174
T0241,2024,37,-20.613121555806178
T0242,2024,6,20.75991265255289
T0243,2024,567,-6.137318111730683
T0244,2024,39,-0.6773469876361705
T0245,2024,149,-0.04321510478007023
T0246,2024,798,-4.730028380234946
T0247,2024,798,-6.844341247405264
T0248,2024,798,-3.830600361784915
T0249,2024,761,-5.497409094969391
T0250,2024,798,-3.480513445745969
T0251,2024,787,-6.73871042516025
T0252,2024,24,-18.732122964080094
