trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars_24h,status,observations,signals,executed_trades,signal_frequency,exposure,turnover,gross_return,net_return,hit_rate,mean_net_return,median_net_return,sharpe,sortino,max_drawdown,calmar,hac_t_stat,bootstrap_ci_low,bootstrap_ci_high
T0157,volatility.bollinger_bandwidth,bb20_2s_filter,um,4h,LONG,top50,6,REGISTERED,11120,1037,1037,0.09325539568345324,0.5595323741007194,2074.0,3.761034460744498,-0.5284831004933557,0.46190935390549664,0.0006581641167843364,-0.0033509180016092913,0.5742536072469093,0.9458713334775848,-0.8133592440207018,1.7721313507577352,0.4294213907911252,-0.0020208955179205263,0.008623490846788066
T0158,volatility.realized_percentile,rv20_p100_filter,um,4h,LONG,top50,6,REGISTERED,11120,39,39,0.0035071942446043163,0.0210431654676259,78.0,-0.07428194436621482,-0.15321366011347826,0.358974358974359,-0.0034030981237987133,-0.007626231691078487,-3.861737338563889,-5.3726472782194,-0.28301495739236593,-26.333537138062987,-0.4814031923312071,-0.007002044950403153,0.005757857434830774
T0159,volume.rvol,rvol20_filter,um,4h,LONG,top50,6,REGISTERED,11120,303,303,0.027248201438848922,0.16348920863309352,606.0,31.371600463754476,15.543325408621886,0.528052805280528,0.01149469032311957,0.0034823193736137313,7.90477036949778,15.23068486611959,-0.38370411066531385,65.60620829415441,3.241868667731347,0.0037423745505448924,0.013138181266905403
T0160,volume.vwap_deviation,vwap_dev20_reversal,um,4h,LONG,top50,6,REGISTERED,11120,1428,1428,0.12841726618705035,0.7705035971223022,2856.0,-0.7548450903165765,-0.9900915250674935,0.46218487394957986,-0.0020003642135505216,-0.002940920507760478,-1.8640645288134727,-2.828670198893514,-0.9922239096919611,-4.415130077883,-1.8294992693486551,-0.005637135269240634,0.009200890637975028
T0161,orderflow.taker_ratio,ratio_sign,um,4h,LONG,top50,6,REGISTERED,11120,1563,1563,0.14055755395683453,0.8433453237410072,3126.0,0.36488417150549024,-0.96320431571388,0.39667306461932184,-0.0004786896952423358,-0.008925948547103522,-0.38243172370840495,-0.6546865196096671,-0.9791859434455115,-1.070614258301035,-0.41176492169326884,-0.0026949901118075883,0.007202374319882381
T0162,orderflow.cvd,cvd_slope6_sign,um,4h,LONG,top50,6,REGISTERED,11120,1518,1518,0.13651079136690647,0.8190647482014388,3036.0,-0.9094135887924156,-0.9971519691506424,0.4519104084321476,-0.0025227540989076827,-0.004997440151666975,-2.2629259676038815,-3.3595886846151637,-0.9975946332288037,-5.53815276524315,-2.3044973034686973,-0.006085298614271636,0.0093659658837926
T0163,context.btc_regime,regime_follow,um,4h,LONG,top50,6,REGISTERED,11120,1526,1526,0.13723021582733813,0.8233812949640288,3052.0,241.48826376169217,6.235055052241256,0.4619921363040629,0.0029303517087595743,-0.003921602612004354,2.3395834808448446,4.169260471170633,-0.6549926972749325,9.79777372920807,2.6127618779477397,0.002088708711191913,0.006192054443742236
T0164,context.market_breadth,breadth_0.4_0.6,um,4h,LONG,top50,6,REGISTERED,11120,1518,1518,0.13651079136690647,0.8190647482014388,3036.0,3.425409446946836,-0.8670885854483338,0.4400527009222661,0.0002932656849727024,-0.005911231525863174,0.2351554375658017,0.4000592685015995,-0.9419683652215487,0.6818189164337405,0.2586990516897038,-0.001971143622042629,0.007849923029526723
T0165,derivatives.funding,funding_sign,um,4h,LONG,top50,6,REGISTERED,11120,1549,1549,0.13929856115107914,0.8357913669064748,3098.0,0.27227465045749955,-0.9647272198192601,0.39703034215622984,-0.0005103705528469233,-0.008941870350690748,-0.40592650236478695,-0.6945106810668906,-0.9800473980642097,-1.140466790629174,-0.4354551311012503,-0.002721036393563155,0.007204532844899
T0166,derivatives.funding_zscore,z90_extreme,um,4h,LONG,top50,6,REGISTERED,11120,45,45,0.0040467625899280575,0.024280575539568347,90.0,-0.11737273574520712,-0.21169190751426192,0.5111111111111111,-0.003950685411811784,0.002182684279862528,-3.587259118321095,-4.893494680261449,-0.32627327635989667,-26.51765154779085,-0.5593066688843771,-0.010711638809568118,0.003776118471338312
T0167,trend.ema_20_50_spread,ema_10_30,um,15m,SHORT,top50,96,REGISTERED,177170,1793,1793,0.010120223514138963,0.9715414573573404,3586.0,-0.9484661911287422,-0.9975694106517631,0.5075292805354155,-0.0016555173959813695,0.0004194712476992894,-5.484903201567881,-7.053757981379283,-0.9990259276257286,-58.065889934459825,-1.4986316244184255,-0.008082225236697162,0.00018991199115884325
T0168,trend.ema_20_50_spread,ema_20_50,um,15m,SHORT,top50,96,REGISTERED,177170,1793,1793,0.010120223514138963,0.9715414573573404,3586.0,-0.9564556133435757,-0.9979761693179368,0.5086447295036252,-0.0014960723342432882,0.0006228803716608404,-4.632994127145279,-5.974836163195731,-0.9992292094590767,-52.46281243145722,-1.3267146356436819,-0.010124352742954588,0.0009815386948195406
T0169,trend.ema_20_50_spread,ema_50_200,um,15m,SHORT,top50,96,REGISTERED,177170,1703,1703,0.009612236834678557,0.9227747361291415,3406.0,3.0781583460920814,-0.7970630429636355,0.5372871403405755,0.0007079892181954602,0.002774272930648726,2.3688166607451704,3.13166987009449,-0.9574992969224472,25.909097046134175,0.6583757877730049,-0.009335495551657046,0.003791177175172439
T0170,trend.ema_50_200_regime,ema_10_30,um,15m,SHORT,top50,96,REGISTERED,177170,1793,1793,0.010120223514138963,0.9715414573573404,3586.0,-0.9484661911287422,-0.9975694106517631,0.5075292805354155,-0.0016555173959813695,0.0004194712476992894,-5.484903201567881,-7.053757981379283,-0.9990259276257286,-58.065889934459825,-1.4986316244184255,-0.008082225236697162,0.00018991199115884325
T0171,trend.ema_50_200_regime,ema_20_50,um,15m,SHORT,top50,96,REGISTERED,177170,1793,1793,0.010120223514138963,0.9715414573573404,3586.0,-0.9564556133435757,-0.9979761693179368,0.5086447295036252,-0.0014960723342432882,0.0006228803716608404,-4.632994127145279,-5.974836163195731,-0.9992292094590767,-52.46281243145722,-1.3267146356436819,-0.010124352742954588,0.0009815386948195406
T0172,trend.ema_50_200_regime,ema_50_200,um,15m,SHORT,top50,96,REGISTERED,177170,1703,1703,0.009612236834678557,0.9227747361291415,3406.0,3.0781583460920814,-0.7970630429636355,0.5372871403405755,0.0007079892181954602,0.002774272930648726,2.3688166607451704,3.13166987009449,-0.9574992969224472,25.909097046134175,0.6583757877730049,-0.009335495551657046,0.003791177175172439
T0173,trend.ema_slope,default,um,15m,SHORT,top50,96,REGISTERED,177170,1793,1793,0.010120223514138963,0.9715414573573404,3586.0,-0.9736208740850212,-0.9987415368596549,0.4997211377579476,-0.00181196942476896,-8.254654880576046e-05,-5.683482592178455,-7.265947421001864,-0.9996035558022547,-63.51658942724337,-1.6668020133441808,-0.010353025095142163,0.00064059501754926
T0174,trend.adx_dmi,adx14_threshold20,um,15m,SHORT,top50,96,REGISTERED,177170,1671,1671,0.00943161934864819,0.9054354574702264,3342.0,-0.9818380598344928,-0.9989338240843241,0.5056852184320766,-0.0023259270041568036,0.00040405335870122224,-7.615671536187268,-9.542071543863123,-0.9996397777389837,-81.52985109295543,-1.9983726620165334,-0.009911140297546459,-0.0001985798276199346
T0175,trend.kaufman_er,er10_threshold0.3,um,15m,SHORT,top50,96,REGISTERED,177170,1746,1746,0.009854941581531862,0.9460743918270588,3492.0,-0.9631923192485391,-0.9981448774961954,0.5126002290950744,-0.0018576004689597166,0.001038201692293829,-6.086131861823238,-7.6837872811308685,-0.9990472726939985,-65.15239289611192,-1.7073172102202117,-0.011379431686964427,0.0009445989332255095
T0176,trend.donchian,donchian_20,um,15m,SHORT,top50,96,REGISTERED,177170,1590,1590,0.008974431337133826,0.8615454083648473,3180.0,-0.9452580457405895,-0.9963441130215626,0.5132075471698113,-0.0018270398195373357,0.0010894914166990038,-6.049698675044065,-7.707234684963363,-0.9984877586578,-64.11643480000728,-1.6186976539742703,-0.010186538451355661,0.0005498127801396026
T0177,trend.donchian,donchian_48,um,15m,SHORT,top50,96,REGISTERED,177170,1379,1379,0.007783484788621098,0.7472145397076254,2758.0,-0.7716631397031306,-0.9781433032697652,0.5090645395213923,-0.0010811321051231897,0.0009654097887627262,-3.5718722832652654,-4.691210513106477,-0.9934474056724267,-38.132737321786145,-0.8739214784230831,-0.01091492083082735,0.0016997718694015216
T0178,trend.donchian,donchian_55,um,15m,SHORT,top50,96,REGISTERED,177170,1356,1356,0.007653665970536773,0.7347519331715302,2712.0,-0.9337069038343604,-0.9934572599546959,0.5036873156342183,-0.0020194028000645858,0.00043895304226130455,-6.696156662603186,-8.61606290684687,-0.9974865957824561,-70.93817041095883,-1.5578390601056464,-0.010330614601714687,0.00032156233877447945
T0179,momentum.roc,roc_6,um,15m,SHORT,top50,96,REGISTERED,177170,1793,1793,0.010120223514138963,0.9715414573573404,3586.0,-0.866537557254347,-0.9937481264310658,0.5287228109313998,-0.0010125278157826826,0.002369635993669496,-3.2487227216805703,-4.149097547489892,-0.9980936555164717,-35.546738994815385,-0.945660863211821,-0.00996294075035202,0.0015575835796428274
T0180,momentum.roc,roc_12,um,15m,SHORT,top50,96,REGISTERED,177170,1793,1793,0.010120223514138963,0.9715414573573404,3586.0,-0.9871349660894927,-0.9994014057679251,0.501952035694367,-0.002392805260201741,0.0002223158251822081,-7.829294355228605,-9.905920628718153,-0.9997629863034803,-83.86377318035457,-2.259406254446245,-0.010880151594776732,4.433654441419354e-05
T0181,momentum.roc,roc_24,um,15m,SHORT,top50,96,REGISTERED,177170,1793,1793,0.010120223514138963,0.9715414573573404,3586.0,-0.9739925369584246,-0.9987594054440109,0.4986056887897379,-0.0018213282841388237,-0.00023747714808049897,-5.714646014018333,-7.307455989636595,-0.9996033889185997,-63.84466457768418,-1.6756750968145104,-0.010347482733422352,0.0006269572720086357
T0182,momentum.rsi,rsi_7_30_70,um,15m,SHORT,top50,96,REGISTERED,177170,1651,1651,0.009318733419879212,0.8945984083084043,3302.0,-0.9099639511746361,-0.9946240930889944,0.5105996365838885,-0.0015578059679203194,0.0007475327744329922,-5.312344650306091,-6.807354738023018,-0.9982880668908206,-54.67912812574752,-1.4295131822885452,-0.010816487122687271,0.00107929699133626
T0183,momentum.rsi,rsi_14_30_70,um,15m,SHORT,top50,96,REGISTERED,177170,1216,1216,0.00686346446915392,0.6588925890387763,2432.0,-0.9899000971075549,-0.9987404521885561,0.4942434210526316,-0.003589112451354201,-0.0008668744286545945,-11.324244576636266,-14.205772594693833,-0.9992723964000185,-125.85407217143548,-2.7950703759726014,-0.011179354491036199,-0.0014638446802432406
T0184,momentum.rsi,rsi_21_30_70,um,15m,SHORT,top50,96,REGISTERED,177170,720,720,0.004063893435683242,0.3901337698255912,1440.0,-0.999995826167803,-0.999998778522651,0.4097222222222222,-0.016299711499345244,-0.011013032087418481,-45.660648656622115,-50.43470833509164,-0.9999989687043599,-571.1424799538069,-6.8079966942626475,-0.017666606834084806,-0.010925753128519828
T0185,volatility.atr_natr,natr14_filter,um,15m,SHORT,top50,96,REGISTERED,177170,735,735,0.004148557882259977,0.39826155669695773,1470.0,-0.9370784284802893,-0.9819297272710329,0.5333333333333333,-0.0026530616134042297,0.0037758800521511607,-6.989092322400974,-8.654570136443681,-0.9921644758084817,-93.69744755065085,-1.1835092465824362,-0.006995664981030975,-0.002308714209803871
