trial_id,feature_id,market,timeframe,side,observations,signals,executed_trades,signal_frequency,exposure,turnover,gross_return,net_return,hit_rate,mean_net_return,median_net_return,sharpe,sortino,max_drawdown,calmar,hac_t_stat,bootstrap_ci_low,bootstrap_ci_high
T0146,trend.kaufman_er,um,4h,LONG,11120,507,507,0.04559352517985611,0.2735611510791367,1014.0,-0.9261901431370467,-0.9772226586348769,0.42011834319526625,-0.004731714988648681,-0.0074130776794492405,-2.9385624041300566,-4.548313392062034,-0.9835023215197349,-10.536279984706349,-1.573574220110949,-0.004731714988648681,-0.004731714988648681
T0147,trend.donchian,um,4h,LONG,11120,171,171,0.015377697841726618,0.09226618705035972,342.0,175.46020993637543,120.54527277385164,0.6432748538011696,0.031244752202162506,0.016635628561037806,18.84556056813708,49.86969450738705,-0.22396439411972102,305.5218111418126,5.984397384250123,0.031244752202162506,0.031244752202162506
T0148,trend.donchian,um,4h,LONG,11120,48,48,0.004316546762589928,0.025899280575539568,96.0,-0.3225300328920466,-0.39355507784342614,0.4583333333333333,-0.008604987703831148,-0.004796334567328895,-6.841359412106972,-8.698901077442647,-0.47906338378133684,-39.33701407660028,-0.9837138674891829,-0.008604987703831148,-0.008604987703831148
T0149,trend.donchian,um,4h,LONG,11120,29,29,0.0026079136690647484,0.015647482014388488,58.0,0.043025413905214416,-0.02340023091106125,0.5862068965517241,0.0015210869529940477,0.008491366906474751,1.0506618777113783,1.465268654789985,-0.3251229205317294,10.245910751567168,0.12522262441765936,,
T0150,momentum.roc,um,4h,LONG,11120,720,720,0.06474820143884892,0.38848920863309355,1440.0,-0.9501331425085566,-0.9908530389247984,0.3972222222222222,-0.004575064549005482,-0.009771934737469146,-3.3961432958519753,-5.157985056063782,-0.9920210933001541,-10.099978145616362,-2.0618970810161077,-0.004575064549005482,-0.004575064549005482
T0151,momentum.roc,um,4h,LONG,11120,675,675,0.06070143884892086,0.3642086330935252,1350.0,-0.9988212675299744,-0.9997520754029552,0.38074074074074077,-0.010130240388303654,-0.011263394459539422,-7.250544743221722,-10.015902808103471,-0.9997700483283831,-22.190329153667616,-4.476286321664645,-0.010130240388303654,-0.010130240388303654
T0152,momentum.roc,um,4h,LONG,11120,585,585,0.05260791366906475,0.31564748201438847,1170.0,-0.705755348378881,-0.9214583980254156,0.4478632478632479,-0.002805344259747318,-0.005317662199343296,-2.3028015724083852,-3.7038794670914497,-0.9456263164675911,-6.496968011419747,-1.5467818616570708,-0.002805344259747318,-0.002805344259747318
T0153,momentum.rsi,um,4h,LONG,11120,367,367,0.03300359712230216,0.19802158273381296,734.0,58.97152131946163,24.1338608989445,0.5340599455040872,0.01109856730743839,0.004044171292624878,7.510450618134043,14.25987319036893,-0.38774891116310295,62.68454070027301,3.610966626246193,0.01109856730743839,0.01109856730743839
T0154,momentum.rsi,um,4h,LONG,11120,102,102,0.009172661870503597,0.05503597122302158,204.0,2.8526521248512844,2.063341083264017,0.4803921568627451,0.01514566089549334,-0.0009979537363397385,7.613693963848938,14.253346356466443,-0.4114892092671264,80.60721062456368,2.05126524599527,0.01514566089549334,0.01514566089549334
T0155,momentum.rsi,um,4h,LONG,11120,41,41,0.0036870503597122304,0.02212230215827338,82.0,0.5040052998824596,0.3672772734885761,0.4146341463414634,0.012249551712644552,-0.017586325929890324,5.722789274119512,11.52132526692034,-0.23634823712952524,113.50420285127791,0.9743558816207857,0.012249551712644552,0.012249551712644552
T0156,volatility.atr_natr,um,4h,LONG,11120,2,2,0.00017985611510791367,0.001079136690647482,4.0,-0.06355019697182773,-0.06799663433191439,0.0,-0.03453318258984648,-0.03453318258984648,-145.82838237419332,-44.5592535183551,-0.02345122193276261,-3224.892506181432,,,
T0157,volatility.bollinger_bandwidth,um,4h,LONG,11120,470,470,0.04226618705035971,0.25359712230215825,940.0,0.04690231030736203,-0.6368561925982777,0.41702127659574467,-5.3357313212996e-05,-0.008543839426688047,-0.03758130700563554,-0.06353654784082144,-0.8155847171979157,-0.1432745286570947,-0.01829476686575998,-5.3357313212996e-05,-5.3357313212996e-05
T0158,volatility.realized_percentile,um,4h,LONG,11120,0,0,0.0,0.0,0.0,,,,,,,,,,,,
T0159,volume.rvol,um,4h,LONG,11120,154,154,0.013848920863309352,0.08309352517985612,308.0,49.88304954471478,35.17505728542894,0.5909090909090909,0.026440987699920634,0.009225287249527725,15.755518021538382,36.879089505792514,-0.30238100433064596,191.49934100856316,5.036406520387951,0.026440987699920634,0.026440987699920634
T0160,volume.vwap_deviation,um,4h,LONG,11120,630,630,0.05665467625899281,0.33992805755395683,1260.0,-0.9197277474875875,-0.9808512049867424,0.4,-0.004441914496910086,-0.008769719625275483,-3.3749537572917867,-5.289031632554159,-0.9840467803499929,-9.885498273540648,-2.257442242516007,-0.004441914496910086,-0.004441914496910086
T0161,orderflow.taker_ratio,um,4h,LONG,11120,765,765,0.06879496402877698,0.41276978417266186,1530.0,-0.8903817232161543,-0.9826587612312134,0.330718954248366,-0.0027280744553424075,-0.018247566126743324,-1.7327697362782053,-2.9699960890937467,-0.9862070407408856,-6.058041375076329,-1.2780161228266342,-0.0027280744553424075,-0.0027280744553424075
T0162,orderflow.cvd,um,4h,LONG,11120,720,720,0.06474820143884892,0.38848920863309355,1440.0,-0.9472930472304235,-0.9903327895899474,0.39861111111111114,-0.004499893851764332,-0.009642356776735566,-3.3414260686360846,-5.077491672986059,-0.9915672790913359,-9.938576779575376,-2.0304510979660058,-0.004499893851764332,-0.004499893851764332
T0163,context.btc_regime,um,4h,LONG,11120,765,765,0.06879496402877698,0.41276978417266186,1530.0,42.973450414025,6.033895188581142,0.41830065359477125,0.0049641041928482725,-0.008541800182880675,3.2452764190530115,6.093505664647522,-0.45807609651557446,23.732712239369363,2.466917492806216,0.0049641041928482725,0.0049641041928482725
T0164,context.market_breadth,um,4h,LONG,11120,720,720,0.06474820143884892,0.38848920863309355,1440.0,2.414985761220015,-0.4015555401015486,0.38333333333333336,0.0019064634562483756,-0.013594802084457104,1.1962103198572387,2.160872818292258,-0.7903858641880604,5.282426164684706,0.9196974446158814,0.0019064634562483756,0.0019064634562483756
T0165,derivatives.funding,um,4h,LONG,11120,762,762,0.0685251798561151,0.41115107913669063,1524.0,-0.8889160016022636,-0.9823238821525196,0.3333333333333333,-0.0027114947887004344,-0.01828509314819725,-1.718154383324069,-2.9435784637252036,-0.985940682982323,-6.022850755373908,-1.264327465408377,-0.0027114947887004344,-0.0027114947887004344
T0166,derivatives.funding_zscore,um,4h,LONG,11120,21,21,0.0018884892086330936,0.011330935251798561,42.0,-0.29731999915803997,-0.34238011423864256,0.3333333333333333,-0.017638229758433533,-0.017819255464253957,-12.574379173930172,-15.673295921929958,-0.33909252780650734,-113.91499370641147,-1.5485079056750166,,
T0167,trend.ema_20_50_spread,um,15m,SHORT,177170,855,855,0.00482587345487385,0.4632838516678896,1710.0,-0.061661589790488414,-0.7618827453644096,0.560233918128655,0.00082295124979648,0.005907192254495243,2.265857453880939,2.9150499207019025,-0.914876719173409,31.51923225122853,0.4193894532695979,0.00082295124979648,0.00082295124979648
T0168,trend.ema_20_50_spread,um,15m,SHORT,177170,855,855,0.00482587345487385,0.4632838516678896,1710.0,0.745409989345059,-0.5628271793969113,0.5578947368421052,0.0021871672199922886,0.006354040010392338,5.378564003240654,6.997971464879174,-0.8687797484048682,88.2137728569783,1.051202601996189,0.0021871672199922886,0.0021871672199922886
T0169,trend.ema_20_50_spread,um,15m,SHORT,177170,765,765,0.004317886775413444,0.4145171304396907,1530.0,23.8957005061939,5.645979235261868,0.6013071895424836,0.00521065702660291,0.008871706774238463,13.598603362033511,18.261783700374128,-0.6946429204889147,262.84212625914125,2.268592209100782,0.00521065702660291,0.00521065702660291
T0170,trend.ema_50_200_regime,um,15m,SHORT,177170,855,855,0.00482587345487385,0.4632838516678896,1710.0,-0.061661589790488414,-0.7618827453644096,0.560233918128655,0.00082295124979648,0.005907192254495243,2.265857453880939,2.9150499207019025,-0.914876719173409,31.51923225122853,0.4193894532695979,0.00082295124979648,0.00082295124979648
T0171,trend.ema_50_200_regime,um,15m,SHORT,177170,855,855,0.00482587345487385,0.4632838516678896,1710.0,0.745409989345059,-0.5628271793969113,0.5578947368421052,0.0021871672199922886,0.006354040010392338,5.378564003240654,6.997971464879174,-0.8687797484048682,88.2137728569783,1.051202601996189,0.0021871672199922886,0.0021871672199922886
T0172,trend.ema_50_200_regime,um,15m,SHORT,177170,765,765,0.004317886775413444,0.4145171304396907,1530.0,23.8957005061939,5.645979235261868,0.6013071895424836,0.00521065702660291,0.008871706774238463,13.598603362033511,18.261783700374128,-0.6946429204889147,262.84212625914125,2.268592209100782,0.00521065702660291,0.00521065702660291
T0173,trend.ema_slope,um,15m,SHORT,177170,855,855,0.00482587345487385,0.4632838516678896,1710.0,-0.43261759129045085,-0.854476565403759,0.5719298245614035,0.0006930206474117179,0.0069234429894601615,1.7645611814852191,2.2480659412958777,-0.9484851365037714,25.60234478193116,0.3576533857249315,0.0006930206474117179,0.0006930206474117179
T0174,trend.adx_dmi,um,15m,SHORT,177170,805,805,0.004543658632951403,0.43619122876333466,1610.0,-0.7543532032217157,-0.9319147165112811,0.5714285714285714,-0.0006063433978557061,0.006817301451568924,-1.6117527130907263,-2.0058892371562096,-0.9723172822956047,-21.85117250071118,-0.28679454236792334,-0.0006063433978557061,-0.0006063433978557061
T0175,trend.kaufman_er,um,15m,SHORT,177170,848,848,0.004786363379804708,0.4594908844612519,1696.0,-0.4966840671950392,-0.873024402635904,0.5566037735849056,0.00025182009607024007,0.00699203731493943,0.6688489759432209,0.8444821523120972,-0.9327073072285167,9.460391376712302,0.13108748824622096,0.00025182009607024007,0.00025182009607024007
T0176,trend.donchian,um,15m,SHORT,177170,760,760,0.0042896652932212,0.4118078681492352,1520.0,-0.2655050374831769,-0.7822380614422263,0.5789473684210527,0.0006580070675740756,0.008098653621683584,1.7535048104276139,2.2268038276658557,-0.9044919715846468,25.49117999068703,0.32339145568541494,0.0006580070675740756,0.0006580070675740756
T0177,trend.donchian,um,15m,SHORT,177170,652,652,0.0036800812778687137,0.3532878026753965,1304.0,2.9461161717981623,0.39284519759316705,0.5705521472392638,0.0031238788193443277,0.008619541393732588,8.349270547012265,11.124123679278162,-0.7880789848179535,138.8956131790657,1.3381320087475765,0.0031238788193443277,0.0031238788193443277
T0178,trend.donchian,um,15m,SHORT,177170,641,641,0.003617994017045775,0.3473274256363944,1282.0,0.8818025703929804,-0.3287518346653002,0.5538221528861155,0.0019515524795375534,0.00551558566503655,5.268643557051193,6.9141913670039,-0.8922685129705435,76.63881207164528,0.7943484770055891,0.0019515524795375534,0.0019515524795375534
T0179,momentum.roc,um,15m,SHORT,177170,855,855,0.00482587345487385,0.4632838516678896,1710.0,0.2651750086776383,-0.6819162555645366,0.5871345029239766,0.001656309566461424,0.007719058471498442,4.160046537808835,5.347814763407008,-0.9076903539302457,63.93930150024304,0.8269574260702465,0.001656309566461424,0.001656309566461424
T0180,momentum.roc,um,15m,SHORT,177170,855,855,0.00482587345487385,0.4632838516678896,1710.0,-0.7253123640366689,-0.9314499895865845,0.5555555555555556,-0.0003749493013628061,0.006104431116419583,-0.9804317260846385,-1.244779645446557,-0.9679230243087346,-13.573624337674685,-0.19693560838801533,-0.0003749493013628061,-0.0003749493013628061
T0181,momentum.roc,um,15m,SHORT,177170,855,855,0.00482587345487385,0.4632838516678896,1710.0,-0.4086928623074799,-0.8483280978600818,0.5707602339181287,0.0007364010670217911,0.006970952309762225,1.8765741409929768,2.3919433706132778,-0.946308597260437,27.26752505804625,0.38056909956407403,0.0007364010670217911,0.0007364010670217911
T0182,momentum.rsi,um,15m,SHORT,177170,797,797,0.0044985042614438114,0.43185640909860584,1594.0,1.4197480436689887,-0.33229079506414216,0.5734002509410289,0.0018691601595388102,0.006697536705336463,5.277613769321187,6.831826371775388,-0.7926481800495777,82.62855279140788,0.9722894954804813,0.0018691601595388102,0.0018691601595388102
T0183,momentum.rsi,um,15m,SHORT,177170,608,608,0.00343173223457696,0.32944629451938817,1216.0,-0.9632081424407074,-0.9862932427961199,0.5164473684210527,-0.0040889680452698305,0.0019338908561265323,-10.40707858926163,-12.963456336282858,-0.9907871718184782,-144.60970466874866,-1.8176394720692994,-0.0040889680452698305,-0.0040889680452698305
