trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars_24h,status
T0219,volume.rvol,rvol20_filter,um,1h,SHORT,top50,24,REGISTERED
T0220,volume.vwap_deviation,vwap_dev20_reversal,um,1h,SHORT,top50,24,REGISTERED
T0221,orderflow.taker_ratio,ratio_sign,um,1h,SHORT,top50,24,REGISTERED
T0222,orderflow.cvd,cvd_slope6_sign,um,1h,SHORT,top50,24,REGISTERED
T0223,context.btc_regime,regime_follow,um,1h,SHORT,top50,24,REGISTERED
T0224,context.market_breadth,breadth_0.4_0.6,um,1h,SHORT,top50,24,REGISTERED
T0225,derivatives.funding,funding_sign,um,1h,SHORT,top50,24,REGISTERED
T0226,derivatives.funding_zscore,z90_extreme,um,1h,SHORT,top50,24,REGISTERED
T0227,trend.ema_20_50_spread,ema_10_30,um,4h,SHORT,top50,6,REGISTERED
T0228,trend.ema_20_50_spread,ema_20_50,um,4h,SHORT,top50,6,REGISTERED
T0229,trend.ema_20_50_spread,ema_50_200,um,4h,SHORT,top50,6,REGISTERED
T0230,trend.ema_50_200_regime,ema_10_30,um,4h,SHORT,top50,6,REGISTERED
T0231,trend.ema_50_200_regime,ema_20_50,um,4h,SHORT,top50,6,REGISTERED
T0232,trend.ema_50_200_regime,ema_50_200,um,4h,SHORT,top50,6,REGISTERED
T0233,trend.ema_slope,default,um,4h,SHORT,top50,6,REGISTERED
T0234,trend.adx_dmi,adx14_threshold20,um,4h,SHORT,top50,6,REGISTERED
T0235,trend.kaufman_er,er10_threshold0.3,um,4h,SHORT,top50,6,REGISTERED
T0236,trend.donchian,donchian_20,um,4h,SHORT,top50,6,REGISTERED
T0237,trend.donchian,donchian_48,um,4h,SHORT,top50,6,REGISTERED
T0238,trend.donchian,donchian_55,um,4h,SHORT,top50,6,REGISTERED
T0239,momentum.roc,roc_6,um,4h,SHORT,top50,6,REGISTERED
T0240,momentum.roc,roc_12,um,4h,SHORT,top50,6,REGISTERED
T0241,momentum.roc,roc_24,um,4h,SHORT,top50,6,REGISTERED
T0242,momentum.rsi,rsi_7_30_70,um,4h,SHORT,top50,6,REGISTERED
T0243,momentum.rsi,rsi_14_30_70,um,4h,SHORT,top50,6,REGISTERED
T0244,momentum.rsi,rsi_21_30_70,um,4h,SHORT,top50,6,REGISTERED
T0245,volatility.atr_natr,natr14_filter,um,4h,SHORT,top50,6,REGISTERED
T0246,volatility.bollinger_bandwidth,bb20_2s_filter,um,4h,SHORT,top50,6,REGISTERED
T0247,volatility.realized_percentile,rv20_p100_filter,um,4h,SHORT,top50,6,REGISTERED
T0248,volume.rvol,rvol20_filter,um,4h,SHORT,top50,6,REGISTERED
T0249,volume.vwap_deviation,vwap_dev20_reversal,um,4h,SHORT,top50,6,REGISTERED
T0250,orderflow.taker_ratio,ratio_sign,um,4h,SHORT,top50,6,REGISTERED
T0251,orderflow.cvd,cvd_slope6_sign,um,4h,SHORT,top50,6,REGISTERED
T0252,context.btc_regime,regime_follow,um,4h,SHORT,top50,6,REGISTERED
T0253,context.market_breadth,breadth_0.4_0.6,um,4h,SHORT,top50,6,REGISTERED
T0254,derivatives.funding,funding_sign,um,4h,SHORT,top50,6,REGISTERED
