trial_id,fold_id,cohort,cohort_universe_symbol_count,trades,aggregate_observations,mean_net_return,sharpe,hac_t
T0276,F06,top100,585,8244,4516,-0.003969728994820667,-0.07584343358186703,-2.2778728016756093
T0276,F07,top20,213,3255,2405,-0.0010266066550521132,-0.021937767987459077,-0.5249985779512429
T0276,F07,top50,404,8100,4552,-0.00026602455640120615,-0.005277615339223872,-0.15455518385862582
T0276,F07,top100,585,8100,4552,-0.00026602455640120615,-0.005277615339223872,-0.15455518385862582
T0276,F08,top20,213,3309,2585,0.0016781017689373092,0.03466189779407624,1.095841373910997
T0276,F08,top50,404,8241,5011,0.000862271676106226,0.018659716794811963,0.7231875514754176
T0276,F08,top100,585,8241,5011,0.000862271676106226,0.018659716794811963,0.7231875514754176
T0277,F01,top20,213,5343,2157,-0.00176686053025621,-0.16577091008617773,-6.421427759925518
T0277,F01,top50,404,6351,2399,-0.0016776426135000958,-0.15787159661965994,-6.454625627249506
T0277,F01,top100,585,6351,2399,-0.0016776426135000958,-0.15787159661965994,-6.454625627249506
T0277,F02,top20,213,9587,4922,-0.002125118989770593,-0.14370816729397093,-8.727809102422919
T0277,F02,top50,404,19479,7123,-0.0020188487698819665,-0.14098044492252063,-10.001234554611074
T0277,F02,top100,585,19479,7123,-0.0020188487698819665,-0.14098044492252063,-10.001234554611074
T0277,F03,top20,213,10381,4966,-0.002032164284475516,-0.09656225997354155,-6.254448554876153
T0277,F03,top50,404,26698,8551,-0.0021918360850566154,-0.10225154541370667,-8.350450056068986
T0277,F03,top100,585,26698,8551,-0.0021918360850566154,-0.10225154541370667,-8.350450056068986
T0277,F04,top20,213,9558,4623,-0.0025125066951416537,-0.15882499985053364,-9.606068253293715
T0277,F04,top50,404,24674,8146,-0.0029530442906347504,-0.17307349710742895,-13.098072600660869
T0277,F04,top100,585,24674,8146,-0.0029530442906347504,-0.17307349710742895,-13.098072600660869
T0277,F05,top20,213,8685,3590,-0.002331960835266985,-0.16359628952585437,-8.76604003834712
T0277,F05,top50,404,22244,6166,-0.0024309488713987353,-0.1493996199098507,-10.163022947448383
T0277,F05,top100,585,22244,6166,-0.0024309488713987353,-0.1493996199098507,-10.163022947448383
T0277,F06,top20,213,8450,3788,-0.002673504209206131,-0.19661126939481258,-10.95803781121622
T0277,F06,top50,404,21563,6531,-0.002688801007947363,-0.18881337190344927,-13.338777622019952
T0277,F06,top100,585,21563,6531,-0.002688801007947363,-0.18881337190344927,-13.338777622019952
T0277,F07,top20,213,8456,3846,-0.0021162071066581985,-0.17737802001178152,-9.307999007614779
T0277,F07,top50,404,21615,6919,-0.0020470263377106186,-0.139954635391663,-9.869023102237554
T0277,F07,top100,585,21615,6919,-0.0020470263377106186,-0.139954635391663,-9.869023102237554
T0277,F08,top20,213,9205,4796,-0.0021569808288432,-0.16121741620872906,-10.383303754909479
T0277,F08,top50,404,23356,8022,-0.0022793201321094896,-0.17706724859892775,-13.87041675176522
T0277,F08,top100,585,23356,8022,-0.0022793201321094896,-0.17706724859892775,-13.87041675176522
T0278,F01,top20,213,3872,1730,-0.0015261574965738961,-0.08379130258456813,-2.198776099032505
T0278,F01,top50,404,4551,1921,-0.0011597453692110049,-0.0633531225734089,-1.7326516104125267
T0278,F01,top100,585,4551,1921,-0.0011597453692110049,-0.0633531225734089,-1.7326516104125267
T0278,F02,top20,213,6873,3917,-0.002860030028729697,-0.10849726125563186,-4.478931874271907
T0278,F02,top50,404,13606,5801,-0.0025824355954738305,-0.10027385660163081,-4.512859248965871
T0278,F02,top100,585,13606,5801,-0.0025824355954738305,-0.10027385660163081,-4.512859248965871
T0278,F03,top20,213,7166,3830,-0.0023679534858165366,-0.06704490444147952,-2.7983492125546414
T0278,F03,top50,404,18203,6969,-0.002429416824866191,-0.06140237382596642,-3.1828935833767065
T0278,F03,top100,585,18203,6969,-0.002429416824866191,-0.06140237382596642,-3.1828935833767065
T0278,F04,top20,213,6780,3555,-0.00285681599614066,-0.10002532341977041,-4.234541320825587
T0278,F04,top50,404,17289,6550,-0.002409756440193682,-0.07473419021260644,-3.913331924408985
T0278,F04,top100,585,17289,6550,-0.002409756440193682,-0.07473419021260644,-3.913331924408985
T0278,F05,top20,213,6228,2825,-0.0038238208307832936,-0.15028866794042814,-5.039529602143188
T0278,F05,top50,404,15880,4988,-0.003936764443635737,-0.1419898088306715,-5.912070781329679
T0278,F05,top100,585,15880,4988,-0.003936764443635737,-0.1419898088306715,-5.912070781329679
T0278,F06,top20,213,6180,3063,-0.0030910144393153397,-0.1328411195238893,-4.9794506554895985
T0278,F06,top50,404,15712,5428,-0.0033872983635572515,-0.14505581873788365,-6.800755265280264
T0278,F06,top100,585,15712,5428,-0.0033872983635572515,-0.14505581873788365,-6.800755265280264
T0278,F07,top20,213,6256,3114,-0.002043656561841718,-0.0940878773293786,-3.446218289814602
T0278,F07,top50,404,15715,5712,-0.00222026613276331,-0.09231531065089657,-4.245556926580953
T0278,F07,top100,585,15715,5712,-0.00222026613276331,-0.09231531065089657,-4.245556926580953
T0278,F08,top20,213,6629,3807,-0.0017948047854069605,-0.07401618891590438,-3.656354642990263
T0278,F08,top50,404,16659,6653,-0.0021660965998994584,-0.09985240052786437,-5.68217168644368
T0278,F08,top100,585,16659,6653,-0.0021660965998994584,-0.09985240052786437,-5.68217168644368
T0279,F01,top20,213,2506,1263,-0.002151799786569411,-0.06267701422700422,-1.1922479536193396
T0279,F01,top50,404,2938,1393,-0.002109207931678628,-0.06167450395801443,-1.2189562861306134
T0279,F01,top100,585,2938,1393,-0.002109207931678628,-0.06167450395801443,-1.2189562861306134
T0279,F02,top20,213,4332,2673,-0.00244765611455958,-0.05875588377219075,-1.7738631228137518
T0279,F02,top50,404,8545,4135,-0.002661785989978351,-0.06375216566877415,-2.142862294754915
T0279,F02,top100,585,8545,4135,-0.002661785989978351,-0.06375216566877415,-2.142862294754915
T0279,F03,top20,213,4383,2607,-0.00132366277701013,-0.020689571348058898,-0.6301549714495148
T0279,F03,top50,404,11056,5051,-0.0017697460477627978,-0.02455619646138616,-0.9777356233832248
T0279,F03,top100,585,11056,5051,-0.0017697460477627978,-0.02455619646138616,-0.9777356233832248
T0279,F04,top20,213,4270,2465,-0.0024273251521412056,-0.051541148260987865,-1.6083233989539385
T0279,F04,top50,404,10753,4683,-0.0024491461199099246,-0.0466604472583423,-1.8498174920533426
T0279,F04,top100,585,10753,4683,-0.0024491461199099246,-0.0466604472583423,-1.8498174920533426
T0279,F05,top20,213,3973,1962,-0.00774006218775166,-0.18047417869625165,-4.426571801388139
T0279,F05,top50,404,10044,3558,-0.007922622066385058,-0.17343456303100752,-5.0672140442373115
T0279,F05,top100,585,10044,3558,-0.007922622066385058,-0.17343456303100752,-5.0672140442373115
T0279,F06,top20,213,4077,2169,-0.005228078278804769,-0.14587938883998122,-3.982687964431626
T0279,F06,top50,404,10270,3979,-0.005385706535050607,-0.1488478343018903,-4.844066536883634
T0279,F06,top100,585,10270,3979,-0.005385706535050607,-0.1488478343018903,-4.844066536883634
T0279,F07,top20,213,4030,2221,-0.0015831440393565455,-0.044180200897192816,-1.1751893632382926
T0279,F07,top50,404,10062,4165,-0.0016981774304909614,-0.04536995844479003,-1.4529209682346018
T0279,F07,top100,585,10062,4165,-0.0016981774304909614,-0.04536995844479003,-1.4529209682346018
T0279,F08,top20,213,4223,2679,-0.0010619597787550907,-0.03067303901648884,-1.0693067708206452
T0279,F08,top50,404,10611,4863,-0.0009608891993448031,-0.027814964867370992,-1.2015434172408235
T0279,F08,top100,585,10611,4863,-0.0009608891993448031,-0.027814964867370992,-1.2015434172408235
T0280,F01,top20,213,1566,864,0.0009343681488735762,0.01949583175210849,0.30116793553845433
T0280,F01,top50,404,1841,958,0.0005445009279425471,0.011534454361313068,0.1845816189965741
T0280,F01,top100,585,1841,958,0.0005445009279425471,0.011534454361313068,0.1845816189965741
T0280,F02,top20,213,2712,1849,-0.0003088824328568142,-0.005205428460560447,-0.1315199989234444
T0280,F02,top50,404,5294,2978,-0.0005491865381069252,-0.00943366169157646,-0.26691126452598835
T0280,F02,top100,585,5294,2978,-0.0005491865381069252,-0.00943366169157646,-0.26691126452598835
T0280,F03,top20,213,2740,1751,0.0020177939774496277,0.02223631969940205,0.5394969667823059
T0280,F03,top50,404,6858,3552,0.001760948519724062,0.014300688362432014,0.5157084338973623
T0280,F03,top100,585,6858,3552,0.001760948519724062,0.014300688362432014,0.5157084338973623
T0280,F04,top20,213,2697,1709,-0.0003547544716017331,-0.00573920326168233,-0.1379042706900543
T0280,F04,top50,404,6760,3351,0.0003538987534417174,0.0049191846322776955,0.1562106972910309
T0280,F04,top100,585,6760,3351,0.0003538987534417174,0.0049191846322776955,0.1562106972910309
T0280,F05,top20,213,2567,1447,-0.010885594078685983,-0.17462793477931227,-3.379766771186508
T0280,F05,top50,404,6461,2674,-0.011020219113896708,-0.16407791920229034,-3.89179279966271
T0280,F05,top100,585,6461,2674,-0.011020219113896708,-0.16407791920229034,-3.89179279966271
T0280,F06,top20,213,2596,1562,-0.005750084452762594,-0.11582071236759407,-2.399248121333517
T0280,F06,top50,404,6524,2987,-0.005763392846400555,-0.10943727256333377,-2.8980653305312014
T0280,F06,top100,585,6524,2987,-0.005763392846400555,-0.10943727256333377,-2.8980653305312014
T0280,F07,top20,213,2614,1611,-0.0004005615220420198,-0.007673634899332186,-0.16245156709957848
T0280,F07,top50,404,6497,3127,0.0005231009637798098,0.009705163848077273,0.2552584497849193
T0280,F07,top100,585,6497,3127,0.0005231009637798098,0.009705163848077273,0.2552584497849193
T0280,F08,top20,213,2690,1875,0.0016954005156871513,0.03288565337234042,0.9444609265974
T0280,F08,top50,404,6691,3607,0.0007366623256852747,0.014891535076504953,0.5346138701961279
T0280,F08,top100,585,6691,3607,0.0007366623256852747,0.014891535076504953,0.5346138701961279
T0281,F01,top20,213,3071,1466,-0.0016845500226927604,-0.15130111862533896,-4.77344496517767
