trial_id,fold_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold,trades,symbols_traded,aggregate_observations,aggregate_mean_net_return,aggregate_sum_net_return,mean_net_return,median_net_return,aggregate_hac_t,p_value,gross_return,net_return,funding_cashflow
T0572,F05,volatility.atr_natr,natr14_filter,um,15m,SHORT,16,True,13585,98,5005,-0.0010173038413902587,-5.091605726158245,-0.0008926221352506987,-0.0019067425160870215,-0.9435090612572774,0.3454661330328673,-5218.1697788239235,-1.0000000040457364,-0.67866194
T0572,F06,volatility.atr_natr,natr14_filter,um,15m,SHORT,16,True,6867,85,3423,-0.0025563582524979842,-8.7504142983006,-0.0015822391987934672,-0.0017966653111020064,-2.8657306617218867,0.0041858647084342376,-0.6162318577904408,-0.9999998154100148,-0.76872359
T0572,F07,volatility.atr_natr,natr14_filter,um,15m,SHORT,16,True,9723,97,4466,-0.0029810561858881084,-13.313396926176292,-0.004045283933896736,-0.0038498492651022325,-4.112517942907407,3.9840699939915806e-05,-0.9999999999681061,-1.0,-0.26694193
T0572,F08,volatility.atr_natr,natr14_filter,um,15m,SHORT,16,True,11280,99,5758,-0.0034728332151023507,-19.996573652559334,-0.004555317362820285,-0.0038152663920042445,-6.517858652151261,7.738395274442342e-11,-0.9999999999999939,-1.0,-0.8503781
T0573,F01,volatility.atr_natr,natr14_filter,um,15m,SHORT,48,True,1273,24,765,-0.003914650960018943,-2.9947079844144917,-0.00566500019839998,-0.007367710950199489,-1.0946721832777386,0.27400526457537927,-0.9979263356270628,-0.9998338847043522,0.04389922000000002
T0573,F02,volatility.atr_natr,natr14_filter,um,15m,SHORT,48,True,5965,62,3516,-0.006776978720972902,-23.827857182940726,-0.007576863196681357,-0.00619158349680078,-4.010417293226715,6.187170492685513e-05,-1.0,-1.0,1.6410742099999998
T0573,F03,volatility.atr_natr,natr14_filter,um,15m,SHORT,48,True,10322,80,5281,-0.007447124578019229,-39.32826489651955,-0.009347013266069498,-0.005458231012540941,-3.445882268285653,0.0005736332603859915,-1.0,-1.0,7.9147861399999995
T0573,F04,volatility.atr_natr,natr14_filter,um,15m,SHORT,48,True,5094,93,2948,-0.006649867148853213,-19.60380835481927,-0.007898730259794661,-0.005191697127068793,-3.7030588812904357,0.00021692143329661787,-1.0,-1.0,0.61095924
T0573,F05,volatility.atr_natr,natr14_filter,um,15m,SHORT,48,True,6595,98,3080,0.0006747128682909035,2.078115634335983,0.0016028152064242937,0.00017567307745361223,0.3205210854930144,0.7485950994336572,-50971.5883905683,-1.041748625222484,-0.8690814099999999
T0573,F06,volatility.atr_natr,natr14_filter,um,15m,SHORT,48,True,3689,85,2060,-0.0027762583342358527,-5.719092168525856,-0.002248189885377848,-0.0009373224973752294,-1.4179070558972424,0.1563692195367465,-0.9983340676831352,-0.9999996762781908,-1.0312828399999998
