trial_id,seed,blocks,preserve,samples,ci95_low,ci95_high
T0066,1729,calendar_month,all symbols together,1000,-0.0026431466593754512,-0.0007453466627592796
T0067,1729,calendar_month,all symbols together,1000,-0.0038275078380748022,-0.0001860473731120117
T0068,1729,calendar_month,all symbols together,1000,-0.004570864956216707,0.0019157951623409988
T0069,1729,calendar_month,all symbols together,1000,-0.0025638390255447326,-0.0012729865473085457
T0070,1729,calendar_month,all symbols together,1000,-0.0031866642163900162,-8.527871350230213e-05
T0071,1729,calendar_month,all symbols together,1000,-0.004841098963615267,0.00011361405904541655
T0072,1729,calendar_month,all symbols together,1000,-0.003848145007144889,0.003937972855481421
T0073,1729,calendar_month,all symbols together,1000,-0.0034720684006070814,-0.0031116481011732203
T0074,1729,calendar_month,all symbols together,1000,-0.0036407674356024678,-0.002462870637937221
T0075,1729,calendar_month,all symbols together,1000,-0.0037476016023295766,-0.00037981646293058823
T0076,1729,calendar_month,all symbols together,1000,-0.001781196890500664,0.004501764123032101
T0077,1729,calendar_month,all symbols together,1000,-0.0032834590779726343,-0.00305043667416513
T0078,1729,calendar_month,all symbols together,1000,-0.00338258495669366,-0.002630223606134365
T0079,1729,calendar_month,all symbols together,1000,-0.0038690565069673904,-0.0014219297333176331
T0080,1729,calendar_month,all symbols together,1000,-0.004396968738906528,0.00045399824754753314
T0081,1729,calendar_month,all symbols together,1000,-0.0035466945475250682,-0.003182764259790543
T0082,1729,calendar_month,all symbols together,1000,-0.0040336003218274805,-0.0029088862718270945
T0083,1729,calendar_month,all symbols together,1000,-0.004278387409336851,-0.001207694701081643
T0084,1729,calendar_month,all symbols together,1000,-0.004161793134846201,0.0012903534436589622
T0085,1729,calendar_month,all symbols together,1000,-0.003427850812352227,-0.003064175974669367
T0086,1729,calendar_month,all symbols together,1000,-0.0037904525555211835,-0.0029475418217144215
T0087,1729,calendar_month,all symbols together,1000,-0.004442165230852711,-0.0018741393804183103
T0088,1729,calendar_month,all symbols together,1000,-0.0046418766382081925,0.0007754389164491685
T0089,1729,calendar_month,all symbols together,1000,-0.002807496644749466,-0.0025430371538778243
T0090,1729,calendar_month,all symbols together,1000,-0.002857511726811746,-0.0018668818899299185
T0091,1729,calendar_month,all symbols together,1000,-0.0032162261931168276,-0.0007295575396567831
T0092,1729,calendar_month,all symbols together,1000,-0.0044084860082354484,0.0005154514473685666
T0093,1729,calendar_month,all symbols together,1000,-0.003116020314751987,-0.002897381999427398
T0094,1729,calendar_month,all symbols together,1000,-0.0032446438900511055,-0.0024471599666623955
T0095,1729,calendar_month,all symbols together,1000,-0.003616543919789341,-0.0013965771118538137
T0096,1729,calendar_month,all symbols together,1000,-0.004781348349170405,-4.989161510833658e-05
T0097,1729,calendar_month,all symbols together,1000,-0.003129853777731667,-0.0029344050739490324
T0098,1729,calendar_month,all symbols together,1000,-0.0032387594684051674,-0.0024141086397899752
T0099,1729,calendar_month,all symbols together,1000,-0.0036585112550676737,-0.0012993596125399757
T0100,1729,calendar_month,all symbols together,1000,-0.004179413895569597,0.0005280885941379392
T0101,1729,calendar_month,all symbols together,1000,-0.0029788583451177612,-0.0027609878468649943
T0102,1729,calendar_month,all symbols together,1000,-0.003028785845389427,-0.0022076379480572405
T0103,1729,calendar_month,all symbols together,1000,-0.0032269054483621217,-0.00012967412340037394
T0104,1729,calendar_month,all symbols together,1000,-0.005144422395196057,0.0013311944595140845
T0105,1729,calendar_month,all symbols together,1000,-0.0029952285147218627,-0.0027744645688341837
T0106,1729,calendar_month,all symbols together,1000,-0.0029210465171905036,-0.0021487472066290896
T0107,1729,calendar_month,all symbols together,1000,-0.0030696439465215343,-0.00039244705599821917
T0108,1729,calendar_month,all symbols together,1000,-0.0036306099227597206,0.0015736425915319715
T0109,1729,calendar_month,all symbols together,1000,-0.003242166680158793,-0.0022339175083156276
T0110,1729,calendar_month,all symbols together,1000,-0.003856440055633048,-0.0011333136098255186
T0111,1729,calendar_month,all symbols together,1000,-0.005403919499903666,0.0004894111354402435
T0112,1729,calendar_month,all symbols together,1000,-0.0031422046196720897,-0.0021594358317713904
T0113,1729,calendar_month,all symbols together,1000,-0.0037868195885987573,-0.0010913834916053574
T0114,1729,calendar_month,all symbols together,1000,-0.0045493347141839086,0.0008416320934370499
T0115,1729,calendar_month,all symbols together,1000,-0.003099087994339675,-0.0020432309748349567
T0116,1729,calendar_month,all symbols together,1000,-0.003383812244297001,-0.0004033983865275116
T0117,1729,calendar_month,all symbols together,1000,-0.0036193021709800648,0.0022825232073228684
T0118,1729,calendar_month,all symbols together,1000,-0.003242166680158793,-0.0022339175083156276
T0119,1729,calendar_month,all symbols together,1000,-0.003856440055633048,-0.0011333136098255186
T0120,1729,calendar_month,all symbols together,1000,-0.005403919499903666,0.0004894111354402435
T0121,1729,calendar_month,all symbols together,1000,-0.0031422046196720897,-0.0021594358317713904
T0122,1729,calendar_month,all symbols together,1000,-0.0037868195885987573,-0.0010913834916053574
T0123,1729,calendar_month,all symbols together,1000,-0.0045493347141839086,0.0008416320934370499
T0124,1729,calendar_month,all symbols together,1000,-0.003099087994339675,-0.0020432309748349567
T0125,1729,calendar_month,all symbols together,1000,-0.003383812244297001,-0.0004033983865275116
T0126,1729,calendar_month,all symbols together,1000,-0.0036193021709800648,0.0022825232073228684
T0127,1729,calendar_month,all symbols together,1000,-0.0033258340172788023,-0.00235821853462331
T0128,1729,calendar_month,all symbols together,1000,-0.003961140053855874,-0.001389029096504404
T0129,1729,calendar_month,all symbols together,1000,-0.0049041267315495666,0.00022955651129937392
T0130,1729,calendar_month,all symbols together,1000,-0.003348077823756296,-0.0024326563260370273
T0131,1729,calendar_month,all symbols together,1000,-0.004035811138499324,-0.0014400488801526124
T0132,1729,calendar_month,all symbols together,1000,-0.00469047880771781,0.0009763995811324952
T0133,1729,calendar_month,all symbols together,1000,-0.0038785588537214024,-0.0029611331964100583
T0134,1729,calendar_month,all symbols together,1000,-0.004759762477283743,-0.0022441084495363082
T0135,1729,calendar_month,all symbols together,1000,-0.005269530306526976,-0.00020152168771942405
T0136,1729,calendar_month,all symbols together,1000,-0.0045717358526323375,-0.003296920957008174
T0137,1729,calendar_month,all symbols together,1000,-0.005673173985902594,-0.0025084883798144088
T0138,1729,calendar_month,all symbols together,1000,-0.0064458641702212745,4.6990033271366296e-05
T0139,1729,calendar_month,all symbols together,1000,-0.004547445264954656,-0.002961133457087115
T0140,1729,calendar_month,all symbols together,1000,-0.005066627845529898,-0.0013613393494586292
T0141,1729,calendar_month,all symbols together,1000,-0.006014804512162461,0.001526501494966027
T0142,1729,calendar_month,all symbols together,1000,-0.004421070646413412,-0.002843352975545684
T0143,1729,calendar_month,all symbols together,1000,-0.005142396169970809,-0.0015471297504104432
T0144,1729,calendar_month,all symbols together,1000,-0.0058823521615886335,0.0016452595182042467
T0145,1729,calendar_month,all symbols together,1000,-0.0037697329766026243,-0.0028118021452532087
T0146,1729,calendar_month,all symbols together,1000,-0.004909571867999636,-0.0024718270643121847
T0147,1729,calendar_month,all symbols together,1000,-0.00484158473873054,-0.00019673527732386853
T0148,1729,calendar_month,all symbols together,1000,-0.0035676673523949596,-0.0026353298762713377
T0149,1729,calendar_month,all symbols together,1000,-0.004061591459538164,-0.0009942169066826485
T0150,1729,calendar_month,all symbols together,1000,-0.005075923649920185,0.00019954787728329305
