trial_id,fold_id,scope,symbols_traded,top_symbol,top_symbol_share_abs
T0033,F08,fold_diagnostic,108,LTCUSDT,0.022353614406783597
T0034,F01,fold_diagnostic,69,ALGOUSDT,0.0270957698949345
T0034,F02,fold_diagnostic,89,SXPUSDT,0.03239984017563683
T0034,F03,fold_diagnostic,96,HOTUSDT,0.025521322107680128
T0034,F04,fold_diagnostic,100,ICPUSDT,0.029987578549513005
T0034,F05,fold_diagnostic,91,ICPUSDT,0.025343383880361912
T0034,F06,fold_diagnostic,92,JASMYUSDT,0.02604973018981147
T0034,F07,fold_diagnostic,97,MATICUSDT,0.028979731654777255
T0034,F08,fold_diagnostic,108,LTCUSDT,0.02846265423667203
T0035,F01,fold_diagnostic,69,HOTUSDT,0.04318800940215802
T0035,F02,fold_diagnostic,89,SXPUSDT,0.05338107932600797
T0035,F03,fold_diagnostic,96,DOGEUSDT,0.07883643930038194
T0035,F04,fold_diagnostic,100,SLPUSDT,0.03989943394348611
T0035,F05,fold_diagnostic,91,LUNAUSDT,0.03950862403802878
T0035,F06,fold_diagnostic,92,WAVESUSDT,0.03712007333254937
T0035,F07,fold_diagnostic,97,ACHUSDT,0.03504331026760992
T0035,F08,fold_diagnostic,108,LTCUSDT,0.03560145188650665
T0036,F01,fold_diagnostic,69,HBARUSDT,0.07211985348583376
T0036,F02,fold_diagnostic,89,THETAUSDT,0.04916062032536081
T0036,F03,fold_diagnostic,96,DOGEUSDT,0.12064600133631553
T0036,F04,fold_diagnostic,100,LUNAUSDT,0.056887562838423195
T0036,F05,fold_diagnostic,91,LUNAUSDT,0.03493167901293169
T0036,F06,fold_diagnostic,92,WAVESUSDT,0.04079192896961699
T0036,F07,fold_diagnostic,97,OCEANUSDT,0.03905099559767384
T0036,F08,fold_diagnostic,108,TRBUSDT,0.060917520530643345
T0037,F01,fold_diagnostic,69,ONTUSDT,0.029001847803332006
T0037,F02,fold_diagnostic,89,ETCUSDT,0.029498661190537158
T0037,F03,fold_diagnostic,96,ONTUSDT,0.03341991092043996
T0037,F04,fold_diagnostic,100,ICPUSDT,0.029828518335107915
T0037,F05,fold_diagnostic,91,VETUSDT,0.02595095221521915
T0037,F06,fold_diagnostic,92,JASMYUSDT,0.024304481489126194
T0037,F07,fold_diagnostic,97,OPUSDT,0.030870519195219742
T0037,F08,fold_diagnostic,108,FETUSDT,0.024057923155579797
T0038,F01,fold_diagnostic,69,ONTUSDT,0.032939689977424164
T0038,F02,fold_diagnostic,89,ALGOUSDT,0.035557128541553164
T0038,F03,fold_diagnostic,96,ONTUSDT,0.038529353265933444
T0038,F04,fold_diagnostic,100,ICPUSDT,0.03806094634184463
T0038,F05,fold_diagnostic,91,VETUSDT,0.027635249618284147
T0038,F06,fold_diagnostic,92,WAVESUSDT,0.02796003437908859
T0038,F07,fold_diagnostic,97,ATOMUSDT,0.0355686188727553
T0038,F08,fold_diagnostic,108,LTCUSDT,0.02804183143706111
T0039,F01,fold_diagnostic,69,RVNUSDT,0.031213197341031847
T0039,F02,fold_diagnostic,89,COMPUSDT,0.04487850400883451
T0039,F03,fold_diagnostic,96,DOGEUSDT,0.05929928698169719
T0039,F04,fold_diagnostic,100,ICPUSDT,0.03868676931329851
T0039,F05,fold_diagnostic,91,SLPUSDT,0.029717827812813586
T0039,F06,fold_diagnostic,92,JASMYUSDT,0.0354355127267439
T0039,F07,fold_diagnostic,97,HOOKUSDT,0.04211893885529306
T0039,F08,fold_diagnostic,108,APEUSDT,0.030038609588866505
T0040,F01,fold_diagnostic,69,HOTUSDT,0.0493947347974274
T0040,F02,fold_diagnostic,89,BANDUSDT,0.057345323940287234
T0040,F03,fold_diagnostic,96,DOGEUSDT,0.11688306709609939
T0040,F04,fold_diagnostic,100,GALAUSDT,0.039042732258520035
T0040,F05,fold_diagnostic,91,WAVESUSDT,0.029968372172672075
T0040,F06,fold_diagnostic,92,GALAUSDT,0.038596881175797196
T0040,F07,fold_diagnostic,97,VGXUSDT,0.049723581268101086
T0040,F08,fold_diagnostic,108,TRBUSDT,0.03517497490309187
T0041,F01,fold_diagnostic,69,ALGOUSDT,0.030978260031455974
T0041,F02,fold_diagnostic,89,COMPUSDT,0.030739932590483285
T0041,F03,fold_diagnostic,96,SXPUSDT,0.035070940880527875
T0041,F04,fold_diagnostic,100,EOSUSDT,0.030813761524416488
T0041,F05,fold_diagnostic,91,VETUSDT,0.031193022278430908
T0041,F06,fold_diagnostic,92,JASMYUSDT,0.026782712178747798
T0041,F07,fold_diagnostic,97,ATOMUSDT,0.03188664556515031
T0041,F08,fold_diagnostic,108,FETUSDT,0.02863151224224606
T0042,F01,fold_diagnostic,69,ALGOUSDT,0.05199469465451863
T0042,F02,fold_diagnostic,89,IOSTUSDT,0.0331059044382366
T0042,F03,fold_diagnostic,96,DOGEUSDT,0.063528159016416
T0042,F04,fold_diagnostic,100,EOSUSDT,0.03263990888102296
T0042,F05,fold_diagnostic,91,ALGOUSDT,0.028626127912826187
T0042,F06,fold_diagnostic,92,WAVESUSDT,0.028717806016506055
T0042,F07,fold_diagnostic,97,ATOMUSDT,0.0386112429867916
T0042,F08,fold_diagnostic,108,SUIUSDT,0.03094172532431277
T0043,F01,fold_diagnostic,69,TOMOUSDT,0.05797229728347933
T0043,F02,fold_diagnostic,89,COMPUSDT,0.03958913387669688
T0043,F03,fold_diagnostic,96,DOGEUSDT,0.09579196262030182
T0043,F04,fold_diagnostic,100,EOSUSDT,0.038215448949253154
T0043,F05,fold_diagnostic,91,ALGOUSDT,0.029639022050836714
T0043,F06,fold_diagnostic,92,SOLUSDT,0.033984898896782204
T0043,F07,fold_diagnostic,97,ACHUSDT,0.03758235138978499
T0043,F08,fold_diagnostic,108,DYDXUSDT,0.03500277603495425
T0044,F01,fold_diagnostic,69,HOTUSDT,0.04832616699865615
