trial_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_observations,aggregate_mean_net_return,aggregate_sum_net_return,aggregate_hac_t,p_value,bootstrap_ci_low,bootstrap_ci_high,best_fold_aggregate_mean,worst_fold_aggregate_mean,max_top_symbol_share_abs,fdr_q_value,bonferroni_p,catastrophic_reversal,temporal_replication,horizon_decay_position,spot_um_consistency_note,um_long_short_mean_delta
T0069,momentum.rsi,rsi_21_30_70,spot,15m,LONG,4,8,0.125,10813,-0.001981663593075003,-21.42772843192001,-6.004337887964381,1.982884202791942e-09,-0.0025638390255447326,-0.0012729865473085457,0.002497015038852373,-0.003988236759916094,0.04412453808711016,6.325149608905942e-09,1.4990604573107082e-06,False,NO_REPLICATION,1,same_direction,
T0070,momentum.rsi,rsi_21_30_70,spot,15m,LONG,16,8,0.25,7836,-0.0016731450390245262,-13.110764525796188,-2.7023918289624826,0.006899090816437492,-0.0031866642163900162,-8.527871350230213e-05,0.0041394984269314174,-0.00579605341373812,0.03657894904547051,0.011513714475114225,1.0,False,NO_REPLICATION,2,same_direction,
T0071,momentum.rsi,rsi_21_30_70,spot,15m,LONG,48,8,0.125,6448,-0.002393443979683323,-15.432926780998068,-1.9968662540841604,0.04588168154915171,-0.004841098963615267,0.00011361405904541655,0.0007127239249259133,-0.0083984087578007,0.03388210813741123,0.06520028430668927,1.0,True,NO_REPLICATION,3,same_direction,
T0072,momentum.rsi,rsi_21_30_70,spot,15m,LONG,96,8,0.625,5731,-0.00020402415887277927,-1.169262454499898,-0.11091315814811363,0.911689095812592,-0.003848145007144889,0.003937972855481421,0.007950092814701933,-0.009651626137857729,0.029039260555947622,0.9226733017862377,1.0,False,NO_REPLICATION,4,opposite_direction,
T0073,volatility.atr_natr,natr14_filter,spot,15m,LONG,4,8,0.0,72320,-0.0032807090698909955,-237.2608799345168,-38.5468947492739,0.0,-0.0034720684006070814,-0.0031116481011732203,-0.00291479628026865,-0.0038373793562432867,0.02313025923678443,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0074,volatility.atr_natr,natr14_filter,spot,15m,LONG,16,8,0.0,46640,-0.0030416318082141145,-141.8617075351063,-11.033794435779635,2.8458925444941463e-28,-0.0036407674356024678,-0.002462870637937221,-0.0014104850993015886,-0.004948193727204159,0.023604749240611678,1.617665235817725e-27,2.1514947636375745e-25,True,NO_REPLICATION,2,same_direction,
T0075,volatility.atr_natr,natr14_filter,spot,15m,LONG,48,8,0.25,28655,-0.0020208396687778963,-57.907160708830624,-2.944371839513481,0.003238707513290625,-0.0037476016023295766,-0.00037981646293058823,0.0022172126689024036,-0.008542870546211395,0.023921622477210025,0.005774676603886113,1.0,True,NO_REPLICATION,3,same_direction,
T0076,volatility.atr_natr,natr14_filter,spot,15m,LONG,96,8,0.625,19857,0.0012994193132203227,25.80256930261595,1.0810279632702597,0.27969780429158103,-0.001781196890500664,0.004501764123032101,0.013077745407761392,-0.008989116824716736,0.061942084249010126,0.3416018417519148,1.0,False,NO_REPLICATION,4,same_direction,
T0077,volatility.bollinger_bandwidth,bb20_2s_filter,spot,15m,LONG,4,8,0.0,113091,-0.003169101485945085,-358.3968561470156,-57.67621884835818,0.0,-0.0032834590779726343,-0.00305043667416513,-0.0030121505549200655,-0.003481153194782966,0.02002306613992546,0.0,0.0,True,NO_REPLICATION,1,same_direction,
T0078,volatility.bollinger_bandwidth,bb20_2s_filter,spot,15m,LONG,16,8,0.0,90634,-0.0030081471696211766,-272.6404105714457,-16.75125508021362,6.896939271723039e-63,-0.00338258495669366,-0.002630223606134365,-0.00223128797830212,-0.0044210439776168784,0.020824984885126668,6.282031433039299e-62,5.214086089422618e-60,True,NO_REPLICATION,2,same_direction,
