trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars,status
T0305,momentum.rsi,rsi_14_30_70,um,15m,LONG,top50,4,REGISTERED
T0306,momentum.rsi,rsi_14_30_70,um,15m,LONG,top50,16,REGISTERED
T0307,momentum.rsi,rsi_14_30_70,um,15m,LONG,top50,48,REGISTERED
T0308,momentum.rsi,rsi_14_30_70,um,15m,LONG,top50,96,REGISTERED
T0309,momentum.rsi,rsi_21_30_70,um,15m,LONG,top50,4,REGISTERED
T0310,momentum.rsi,rsi_21_30_70,um,15m,LONG,top50,16,REGISTERED
T0311,momentum.rsi,rsi_21_30_70,um,15m,LONG,top50,48,REGISTERED
T0312,momentum.rsi,rsi_21_30_70,um,15m,LONG,top50,96,REGISTERED
T0313,volatility.atr_natr,natr14_filter,um,15m,LONG,top50,4,REGISTERED
T0314,volatility.atr_natr,natr14_filter,um,15m,LONG,top50,16,REGISTERED
T0315,volatility.atr_natr,natr14_filter,um,15m,LONG,top50,48,REGISTERED
T0316,volatility.atr_natr,natr14_filter,um,15m,LONG,top50,96,REGISTERED
T0317,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,LONG,top50,4,REGISTERED
T0318,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,LONG,top50,16,REGISTERED
