trial_id,feature_id,variant,market,timeframe,side,cohort,horizon_bars,status
T0180,orderflow.taker_ratio,ratio_sign,spot,1h,LONG,top50,24,REGISTERED
T0181,orderflow.cvd,cvd_slope6_sign,spot,1h,LONG,top50,4,REGISTERED
T0182,orderflow.cvd,cvd_slope6_sign,spot,1h,LONG,top50,12,REGISTERED
T0183,orderflow.cvd,cvd_slope6_sign,spot,1h,LONG,top50,24,REGISTERED
T0184,context.btc_regime,regime_follow,spot,1h,LONG,top50,4,REGISTERED
T0185,context.btc_regime,regime_follow,spot,1h,LONG,top50,12,REGISTERED
T0186,context.btc_regime,regime_follow,spot,1h,LONG,top50,24,REGISTERED
T0187,trend.ema_20_50_spread,ema_10_30,spot,4h,LONG,top50,3,REGISTERED
T0188,trend.ema_20_50_spread,ema_10_30,spot,4h,LONG,top50,6,REGISTERED
T0189,trend.ema_20_50_spread,ema_20_50,spot,4h,LONG,top50,3,REGISTERED
T0190,trend.ema_20_50_spread,ema_20_50,spot,4h,LONG,top50,6,REGISTERED
T0191,trend.ema_20_50_spread,ema_50_200,spot,4h,LONG,top50,3,REGISTERED
T0192,trend.ema_20_50_spread,ema_50_200,spot,4h,LONG,top50,6,REGISTERED
T0193,trend.ema_50_200_regime,ema_10_30,spot,4h,LONG,top50,3,REGISTERED
T0194,trend.ema_50_200_regime,ema_10_30,spot,4h,LONG,top50,6,REGISTERED
T0195,trend.ema_50_200_regime,ema_20_50,spot,4h,LONG,top50,3,REGISTERED
T0196,trend.ema_50_200_regime,ema_20_50,spot,4h,LONG,top50,6,REGISTERED
T0197,trend.ema_50_200_regime,ema_50_200,spot,4h,LONG,top50,3,REGISTERED
T0198,trend.ema_50_200_regime,ema_50_200,spot,4h,LONG,top50,6,REGISTERED
T0199,trend.ema_slope,default,spot,4h,LONG,top50,3,REGISTERED
T0200,trend.ema_slope,default,spot,4h,LONG,top50,6,REGISTERED
T0201,trend.adx_dmi,adx14_threshold20,spot,4h,LONG,top50,3,REGISTERED
T0202,trend.adx_dmi,adx14_threshold20,spot,4h,LONG,top50,6,REGISTERED
T0203,trend.kaufman_er,er10_threshold0.3,spot,4h,LONG,top50,3,REGISTERED
T0204,trend.kaufman_er,er10_threshold0.3,spot,4h,LONG,top50,6,REGISTERED
T0205,trend.donchian,donchian_20,spot,4h,LONG,top50,3,REGISTERED
T0206,trend.donchian,donchian_20,spot,4h,LONG,top50,6,REGISTERED
T0207,trend.donchian,donchian_48,spot,4h,LONG,top50,3,REGISTERED
T0208,trend.donchian,donchian_48,spot,4h,LONG,top50,6,REGISTERED
T0209,trend.donchian,donchian_55,spot,4h,LONG,top50,3,REGISTERED
T0210,trend.donchian,donchian_55,spot,4h,LONG,top50,6,REGISTERED
T0211,momentum.roc,roc_6,spot,4h,LONG,top50,3,REGISTERED
T0212,momentum.roc,roc_6,spot,4h,LONG,top50,6,REGISTERED
T0213,momentum.roc,roc_12,spot,4h,LONG,top50,3,REGISTERED
T0214,momentum.roc,roc_12,spot,4h,LONG,top50,6,REGISTERED
T0215,momentum.roc,roc_24,spot,4h,LONG,top50,3,REGISTERED
T0216,momentum.roc,roc_24,spot,4h,LONG,top50,6,REGISTERED
T0217,momentum.rsi,rsi_7_30_70,spot,4h,LONG,top50,3,REGISTERED
T0218,momentum.rsi,rsi_7_30_70,spot,4h,LONG,top50,6,REGISTERED
T0219,momentum.rsi,rsi_14_30_70,spot,4h,LONG,top50,3,REGISTERED
T0220,momentum.rsi,rsi_14_30_70,spot,4h,LONG,top50,6,REGISTERED
T0221,momentum.rsi,rsi_21_30_70,spot,4h,LONG,top50,3,REGISTERED
T0222,momentum.rsi,rsi_21_30_70,spot,4h,LONG,top50,6,REGISTERED
T0223,volatility.atr_natr,natr14_filter,spot,4h,LONG,top50,3,REGISTERED
T0224,volatility.atr_natr,natr14_filter,spot,4h,LONG,top50,6,REGISTERED
T0225,volatility.bollinger_bandwidth,bb20_2s_filter,spot,4h,LONG,top50,3,REGISTERED
T0226,volatility.bollinger_bandwidth,bb20_2s_filter,spot,4h,LONG,top50,6,REGISTERED
T0227,volatility.realized_percentile,rv20_p100_filter,spot,4h,LONG,top50,3,REGISTERED
T0228,volatility.realized_percentile,rv20_p100_filter,spot,4h,LONG,top50,6,REGISTERED
T0229,volume.rvol,rvol20_filter,spot,4h,LONG,top50,3,REGISTERED
T0230,volume.rvol,rvol20_filter,spot,4h,LONG,top50,6,REGISTERED
T0231,volume.vwap_deviation,vwap_dev20_reversal,spot,4h,LONG,top50,3,REGISTERED
