trial_id,feature_id,variant,market,timeframe,side,horizon_bars,valid_fold_count,positive_fold_fraction,aggregate_hac_t,fdr_q_value,max_top_symbol_share_abs,catastrophic_reversal,temporal_replication
T0551,momentum.roc,roc_12,um,15m,SHORT,4,8,0.0,-36.51401340775846,9.072831869002873e-289,0.022435404901456492,True,NO_REPLICATION
T0552,momentum.roc,roc_12,um,15m,SHORT,16,8,0.0,-11.260283311635103,1.2810671521876375e-28,0.024074256734067483,True,NO_REPLICATION
T0553,momentum.roc,roc_12,um,15m,SHORT,48,8,0.125,-5.580140925099041,7.133010346812726e-08,0.031155849642878642,True,NO_REPLICATION
T0554,momentum.roc,roc_12,um,15m,SHORT,96,8,0.25,-3.7184724645174945,0.0004227471767926865,0.034918726402802754,False,NO_REPLICATION
T0555,momentum.roc,roc_24,um,15m,SHORT,4,8,0.0,-35.86405018388633,1.030307221869121e-278,0.02333133355844626,True,NO_REPLICATION
T0556,momentum.roc,roc_24,um,15m,SHORT,16,8,0.0,-11.179281057515642,3.1480142237409385e-28,0.023394583363961243,True,NO_REPLICATION
T0557,momentum.roc,roc_24,um,15m,SHORT,48,8,0.125,-5.587005002965887,6.912360362225316e-08,0.028997565751883374,True,NO_REPLICATION
T0558,momentum.roc,roc_24,um,15m,SHORT,96,8,0.25,-3.78555077187327,0.00032718088422945376,0.03649318618276062,False,NO_REPLICATION
T0559,momentum.rsi,rsi_7_30_70,um,15m,SHORT,4,8,0.0,-22.891556749462744,1.789894272810412e-114,0.02697729554293647,True,NO_REPLICATION
T0560,momentum.rsi,rsi_7_30_70,um,15m,SHORT,16,8,0.0,-7.312020243521616,9.572425972776652e-13,0.036261438475527756,True,NO_REPLICATION
T0561,momentum.rsi,rsi_7_30_70,um,15m,SHORT,48,8,0.25,-2.670552839304082,0.012533143542900417,0.038523585226089264,False,NO_REPLICATION
T0562,momentum.rsi,rsi_7_30_70,um,15m,SHORT,96,8,0.25,-2.4668192538181044,0.02134764994065697,0.03820926362930167,False,NO_REPLICATION
T0563,momentum.rsi,rsi_14_30_70,um,15m,SHORT,4,8,0.0,-13.863995498198722,1.0090328634790265e-42,0.032938934016646645,True,NO_REPLICATION
T0564,momentum.rsi,rsi_14_30_70,um,15m,SHORT,16,8,0.0,-5.932098024770298,9.578528794556212e-09,0.03442018279860635,True,NO_REPLICATION
T0565,momentum.rsi,rsi_14_30_70,um,15m,SHORT,48,8,0.25,-3.321717577234192,0.0017284265127356843,0.04447905195269434,False,NO_REPLICATION
T0566,momentum.rsi,rsi_14_30_70,um,15m,SHORT,96,8,0.25,-3.1066023542832846,0.003478562066569079,0.08033987190826068,False,NO_REPLICATION
T0567,momentum.rsi,rsi_21_30_70,um,15m,SHORT,4,8,0.125,-8.66896448564384,1.875150861719469e-17,0.03467486269075606,True,NO_REPLICATION
T0568,momentum.rsi,rsi_21_30_70,um,15m,SHORT,16,8,0.0,-5.716931776052901,3.371903927028126e-08,0.033700233556796494,True,NO_REPLICATION
T0569,momentum.rsi,rsi_21_30_70,um,15m,SHORT,48,8,0.25,-4.651037687863401,8.58504230350097e-06,0.03919798002172192,True,NO_REPLICATION
T0570,momentum.rsi,rsi_21_30_70,um,15m,SHORT,96,8,0.25,-3.1780158517332335,0.0027831246902519048,0.08924228562158737,True,NO_REPLICATION
T0571,volatility.atr_natr,natr14_filter,um,15m,SHORT,4,8,0.0,-25.833663162135874,2.78898461644377e-145,0.027679875295084876,True,NO_REPLICATION
T0572,volatility.atr_natr,natr14_filter,um,15m,SHORT,16,8,0.0,-10.887380085028393,8.005883142757521e-27,0.028565467626623976,True,NO_REPLICATION
T0573,volatility.atr_natr,natr14_filter,um,15m,SHORT,48,8,0.125,-6.460723963977598,3.5533552475181537e-10,0.03562252249128073,True,NO_REPLICATION
T0574,volatility.atr_natr,natr14_filter,um,15m,SHORT,96,8,0.125,-5.528998336529279,9.582096930089399e-08,0.039934565838932595,True,NO_REPLICATION
T0575,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,4,8,0.0,-36.09976990372837,3.38769456854188e-282,0.023384100647365718,True,NO_REPLICATION
T0576,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,16,8,0.0,-12.156061775451876,3.6224909786980507e-33,0.024170847067113893,True,NO_REPLICATION
T0577,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,48,8,0.125,-5.70645645615839,3.5204300302348713e-08,0.02888499751442811,True,NO_REPLICATION
T0578,volatility.bollinger_bandwidth,bb20_2s_filter,um,15m,SHORT,96,8,0.25,-3.9086620855004397,0.00020315369323352513,0.03389273361601351,False,NO_REPLICATION
T0579,volatility.realized_percentile,rv20_p100_filter,um,15m,SHORT,4,8,0.0,-26.739588236013674,2.1550618459017643e-155,0.026160314103438092,True,NO_REPLICATION
T0580,volatility.realized_percentile,rv20_p100_filter,um,15m,SHORT,16,8,0.0,-10.193110340683994,1.1563083133437144e-23,0.02787390380323588,True,NO_REPLICATION
T0581,volatility.realized_percentile,rv20_p100_filter,um,15m,SHORT,48,8,0.125,-5.17855802168536,6.213250438478518e-07,0.028669128734314202,True,NO_REPLICATION
T0582,volatility.realized_percentile,rv20_p100_filter,um,15m,SHORT,96,8,0.25,-4.277535624224487,4.4561140837978794e-05,0.0324012398215589,True,NO_REPLICATION
T0583,volume.rvol,rvol20_filter,um,15m,SHORT,4,8,0.0,-26.26013560228872,1.97294216420398e-149,0.02608025452528801,True,NO_REPLICATION
T0584,volume.rvol,rvol20_filter,um,15m,SHORT,16,8,0.0,-10.123872598287761,2.3541099778888612e-23,0.027572983474001625,True,NO_REPLICATION
