market,symbol,asset_base,classification,evidence,evidence_source,classification_version,primary_crypto_eligible,all_tradable_usdt_diagnostic
um,DEGOUSDT,DEGO,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DELLUSDT,DELL,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DENTUSDT,DENT,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DEXEUSDT,DEXE,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DFUSDT,DF,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DGBUSDT,DGB,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DIAUSDT,DIA,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DISUSDT,DIS,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DKNGUSDT,DKNG,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DMCUSDT,DMC,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DODOBUSD,DODOBUSD,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,DODOUSDT,DODO,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DODOXUSDT,DODOX,PERPETUAL_VERIFIED,historical fundingRate archive presence,Binance Vision fundingRate census,r1.6-taxonomy-v1,True,True
um,DOGEBUSD,DOGEBUSD,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
um,DOGEUSDC,DOGEUSDC,UNKNOWN,non-USDT quote,archive symbol spelling,r1.6-taxonomy-v1,False,False
